"from","to","n"
"Cadenas, José Juan","Lectura Amena",1
"Caicedo Rojas, José","Revista Literaria. Publicación Mensual",4
"Caicedo Rojas, José","Revista Moderna. (Enciclopedia colombiana)",1
"Calcaño, Eduardo","Revista Literaria. Publicación Mensual",1
"Calcaño, José Antonio","Revista Literaria. Publicación Mensual",3
"Calcaño, Julio","Revista Literaria. Publicación Mensual",4
"Calderón de la Barca, Pedro","El Repertorio. Revista Mensual Ilustrada",1
"Calderón, Luis Eduardo","La Gruta",1
"Camacho Roldán, Salvador","Revista Literaria. Publicación Mensual",1
"Camacho Roldán, Salvador","Revista Moderna. (Enciclopedia colombiana)",1
"Camacho, Martín","Cultura",1
"Campo, Carlos del","La Bohemia Alegre",1
"Campoamor, Ramón de","Revista Literaria. Publicación Mensual",3
"Cancio Tobón, Juan","El Repertorio. Revista Mensual Ilustrada",1
"Cano Gutiérrez, Fidel","Alpha",4
"Cano Gutiérrez, Fidel","Cultura",3
"Cano Gutiérrez, Fidel","El Montañés",1
"Cano Gutiérrez, Fidel","El Repertorio. Revista Mensual Ilustrada",4
"Cano Gutiérrez, Fidel","La Bohemia Alegre",1
"Cano Gutiérrez, Fidel","Lectura Amena",5
"Cano Gutiérrez, Fidel","Lectura y Arte",1
"Cano Isaza, F.","Lectura y Arte",1
"Cano Villegas, Gabriel","Alpha",1
"Cano Villegas, Gabriel","Cultura",1
"Cano, Antonio José","Alpha",4
"Cano, Antonio José","Lectura Amena",7
"Cano, Antonio José","Lectura y Arte",4
"Cano, Antonio José","Panida",1
"Cano, Antonio José","Revista Contemporánea",1
"Cano, Antonio José","Trofeos",1
"Cano, Francisco Antonio","El Montañés",14
"Cano, Francisco Antonio","El Repertorio. Revista Mensual Ilustrada",21
"Cano, Francisco Antonio","Lectura y Arte",28
"Cano, Luis","Alpha",3
"Cano, Luis","Cultura",1
"Cano, Luis","Lectura Amena",10
"Cantillo, Liborio D.","La Gruta",1
"Cantó Vilaplana, Gonzalo","Revista Literaria. Publicación Mensual",1
"Capuana, Luigi","Revista Literaria. Publicación Mensual",1
"Carbonell, Gonzalo","La Gruta",1
"Cardenas, Bernardino","Lectura Amena",1
"Carducci, Giosuè","Revista Literaria. Publicación Mensual",1
"Carducci, Giosuè","Revista Moderna. (Enciclopedia colombiana)",1
"Carducci, Giosuè","Trofeos",8
"Carlyle, Thomas","Revista Literaria. Publicación Mensual",1
