"from","to","n"
"Holguín Caro, Hernando","Revista Moderna. (Enciclopedia colombiana)",2
"Holguín, Jorge","Revista Literaria. Publicación Mensual",1
"Holguín, Jorge","Trofeos",1
"Hoyos y Vinent, Antonio de","Revista Moderna. (Enciclopedia colombiana)",1
"Hoyos, Sebastián","Alpha",1
"Hugo, Victor","Lectura Amena",2
"Hugo, Victor","Revista Literaria. Publicación Mensual",2
"Hugo, Victor","Revista Moderna. (Enciclopedia colombiana)",1
"Huysmans, Joris-Karl","Lectura Amena",1
"Ibáñez, Pedro María","Revista Literaria. Publicación Mensual",6
"Ibáñez, Pedro María","Revista Moderna. (Enciclopedia colombiana)",3
"Icaza, Francisco A. de","Panida",1
"Icaza, Francisco A. de","Trofeos",2
"Ingenieros, José","Panida",1
"Ingenieros, José","Revista Moderna. (Enciclopedia colombiana)",1
"Isaacs, Jorge","Revista Literaria. Publicación Mensual",4
"Isaacs, Lisímaco","Lectura Amena",1
"Isaza, Fernando","Panida",1
"Isaza, Horacio","La Gruta",3
"Isaza, Teodomiro","Panida",6
"Jackson Veyán, José","Revista Literaria. Publicación Mensual",1
"Jaloux, Edmond","Alpha",1
"Jammes, Francis ","Panida",2
"Jaramillo A., Roberto","Lectura Amena",3
"Jaramillo Arango, Rafael","Panida",7
"Jaramillo Arango, Roberto ","Panida",1
"Jaramillo Córdoba, Federico","El Repertorio. Revista Mensual Ilustrada",1
"Jaramillo Jaramillo, Germán ","El Montañés",1
"Jaramillo Medina, Francisco","Alpha",5
"Jaramillo Meza, Juan Bautista ","Revista Moderna. (Enciclopedia colombiana)",1
"Jaramillo P., Escipión","Alpha",1
"Jaramillo P., Escipión","Lectura Amena",3
"Jaramillo P., Escipión","Trofeos",1
"Jaramillo, Bernardo","Alpha",6
"Jaramillo, Bernardo","Lectura Amena",1
"Jaramillo, Bernardo","Lectura y Arte",1
"Jaramillo, Emilio","Alpha",1
"Jaramillo, Emilio","Lectura y Arte",1
"Jaramillo, Joaquín Emilio","Lectura Amena",1
"Jeunesse, Ernest La","Trofeos",1
"Jiménez López, Miguel","Cultura",4
"Jiménez de la Espada, Marcos","Revista Literaria. Publicación Mensual",2
"Jiménez, Juan Ramón","Panida",3
"Jiménez, Juan Ramón","Revista Contemporánea",1
"Jiménez, Tobías","El Montañés",2
"Joubert, Joseph","Trofeos",1
"Joufrez, Lila de","La Gruta",1
"Jouy, Victor Joseph Étienne de","El Repertorio. Revista Mensual Ilustrada",1
"Jugo Ramírez, Diego","Revista Literaria. Publicación Mensual",1
"Kaminsky-Halpérine, Ilya","Revista Moderna. (Enciclopedia colombiana)",1
"Khayyam, Omar ","Panida",1
"Kipling, Rudyard","Alpha",2
"L'Heureux, Marcel","Revista Moderna. (Enciclopedia colombiana)",1
"LL. RR","Alpha",1
"Lamartine, Alphonse de","Revista Literaria. Publicación Mensual",2
"Lambert, Suzanne","Revista Literaria. Publicación Mensual",1
"Lapauze, Jeanne","Revista Moderna. (Enciclopedia colombiana)",1
"Larra, Gilberto E.","El Montañés",1
"Larrazábal, Antonio","Revista Literaria. Publicación Mensual",1
"Latorre, Francisco A.","Lectura y Arte",3
"Latorre, Gabriel","Alpha",2
"Latorre, Gabriel","El Montañés",8
"Latorre, Gabriel","Lectura y Arte",3
"Laverde Amaya, Isidoro","Revista Literaria. Publicación Mensual",77
"Laverde Liévano, Manuel","Revista Moderna. (Enciclopedia colombiana)",1
"Le Blond, M.","Revista Literaria. Publicación Mensual",1
"Le Moyne, Arnaud Auguste Hilaire","Revista Literaria. Publicación Mensual",3
"Legouvé, Ernest","Revista Literaria. Publicación Mensual",1
"Lemaître, Jules","Cultura",1
"Lemly, Henry Rowan","Revista Literaria. Publicación Mensual",2
"Leopardi, Giacomo","Trofeos",1
"León Gómez, Adolfo","El Montañés",2
"León Gómez, Adolfo","La Gruta",2
"León Gómez, Adolfo","Lectura Amena",1
"León Gómez, Adolfo","Lectura y Arte",1
"Lipparini, Giuseppe","Trofeos",1
"Lisle, Leconte de","Lectura Amena",2
"Lizardo, Pedro","Lectura Amena",1
"Liévano, Roberto","Cultura",2
"Llanos, Luis de","Revista Literaria. Publicación Mensual",1
"Lleras A., Alfredo","La Gruta",2
"Lleras Codazzi, Ricardo","Revista Moderna. (Enciclopedia colombiana)",1
"Londoño, Pedro P.","La Bohemia Alegre",4
"Londoño, Víctor Manuel","Alpha",1
"Londoño, Víctor Manuel","La Gruta",3
"Londoño, Víctor Manuel","Lectura Amena",1
"Londoño, Víctor Manuel","Lectura y Arte",1
"Londoño, Víctor Manuel","Revista Contemporánea",4
"Londoño, Víctor Manuel","Trofeos",25
"Longfellow, Henry Wadsworth","Revista Literaria. Publicación Mensual",1
"Lorenzana, Máximo","Revista Moderna. (Enciclopedia colombiana)",1
"Loti, Pierre","Alpha",1
"Louÿs, Pierre","Alpha",1
"Louÿs, Pierre","Trofeos",1
"Lozano y Lozano, Fabio","Cultura",6
"Lozano y Lozano, Fabio","Revista Moderna. (Enciclopedia colombiana)",2
"Lozano, Alberto","Lectura Amena",1
"Lugo, Silvio","Lectura y Arte",1
"Lugones, Leopoldo","Revista Moderna. (Enciclopedia colombiana)",1
"López Iriarte, E.","Revista Literaria. Publicación Mensual",1
"López Lapuya, Isidoro ","El Montañés",1
"López Penha, Abraham Zacarías ","La Bohemia Alegre",1
"López de Mesa, Luis","Cultura",36
"López, Alejandro","Alpha",2
"López, Alejandro","El Montañés",1
"López, Ismael","Cultura",2
"López, Ismael","La Gruta",10
"López, Ismael","Revista Contemporánea",2
"López, Ismael","Revista Moderna. (Enciclopedia colombiana)",5
"López, Ismael","Trofeos",19
"López, Samuel","La Gruta",1
"Machado, Gonzalo","Trofeos",1
"Machado, Manuel","Lectura y Arte",2
"Machado, Manuel","Panida",1
"Maeterlinck, Maurice","Alpha",3
"Maeterlinck, Maurice","Cultura",1
"Magallanes Moure, Manuel","Revista Contemporánea",1
"Maizeroy, René","Revista Moderna. (Enciclopedia colombiana)",2
"Mallarino, Julio D.","Revista Literaria. Publicación Mensual",1
"Mallarmé, Stéphane","Panida",1
"Mallarmé, Stéphane","Revista Contemporánea",1
"Manrique, Juan E.","Revista Contemporánea",1
"Manrique, Pedro Carlos","La Gruta",1
"Maragall, Juan","Alpha",1
"Marquina, Eduardo","Alpha",1
"Marquina, Eduardo","Lectura Amena",1
"Marquina, Eduardo","Panida",1
"Marquina, Pedro ","Revista Literaria. Publicación Mensual",1
"Marroquín, José Manuel","Revista Literaria. Publicación Mensual",2
"Martel, L.","La Bohemia Alegre",1
"Martín Mateos, Nicomedes","Revista Literaria. Publicación Mensual",1
"Martínez Rivas, Federico","Trofeos",1
"Martínez Ruiz, José","Cultura",1
"Martínez Ruiz, José","Panida",3
"Martínez Ruiz, José","Revista Moderna. (Enciclopedia colombiana)",1
"Martínez Sierra, Gregorio","Alpha",2
"Martínez Sierra, Gregorio","Lectura Amena",2
"Martínez Sierra, Gregorio","Lectura y Arte",2
"Martínez Sierra, Gregorio","Revista Contemporánea",2
"Martínez Silva, Carlos","Revista Literaria. Publicación Mensual",1
"Martínez Villergas, Juan","Revista Literaria. Publicación Mensual",1
"Martínez, Antonio R.","Revista Literaria. Publicación Mensual",1
"Martínez, Miguel","El Repertorio. Revista Mensual Ilustrada",1
"Martón é Izaguirre, J.","Revista Contemporánea",1
"Marín, Abel","Alpha",3
"Marín, Abel","Lectura Amena",11
"Mateus, Jorge","Cultura",1
"Matos Hurtado, Belisario","Revista Moderna. (Enciclopedia colombiana)",1
"Matos Hurtado, Belisario","Trofeos",1
"Maupassant, Guy de","Lectura Amena",2
"Maupassant, Guy de","Lectura y Arte",1
"Maupassant, Guy de","Revista Literaria. Publicación Mensual",1
"May, Dick","Revista Moderna. (Enciclopedia colombiana)",1
"Maya, Juan Antonio","La Gruta",1
"Maya, Juan Antonio","Lectura Amena",1
"Maya, Juan F.","El Montañés",1
"Mayorga Rivas, Román","Revista Literaria. Publicación Mensual",1
"Medina, Vicente","Alpha",4
"Medina, Vicente","Lectura Amena",1
"Mejía Arango, Félix","Panida",14
"Mejía V., Sebastián","La Bohemia Alegre",1
"Mejía Ángel, Gustavo ","Alpha",1
"Mejía Ángel, Gustavo ","Panida",1
"Mejía, Epifanio","El Repertorio. Revista Mensual Ilustrada",1
"Mejía, Epifanio","La Bohemia Alegre",2
"Mejía, Epifanio","Revista Literaria. Publicación Mensual",1
"Mejía, Epifanio ","Lectura Amena",1
"Mejía, Gabriel","La Bohemia Alegre",1
"Mendive y Daumy, Rafael María de","Revista Literaria. Publicación Mensual",1
"Mendoza, Diego","Cultura",2
"Mendoza, Diego","La Gruta",2
"Mendoza, Diego","Revista Moderna. (Enciclopedia colombiana)",3
"Mendès, Catulle","El Repertorio. Revista Mensual Ilustrada",1
"Mendès, Catulle","La Gruta",1
"Mendès, Catulle","Lectura Amena",2
"Mercado, Julio","Lectura Amena",1
"Merchán, Rafael María","Revista Literaria. Publicación Mensual",5
"Merezhkovski, Dmitri","Lectura y Arte",1
"Merizalde Uribe, Antonio","Alpha",2
"Merizalde Uribe, Antonio","Lectura Amena",5
"Merizalde Uribe, Antonio ","Panida",2
"Merrill, Stuart","Cultura",1
"Mesa Jaramillo, José María","Alpha",1
"Mesa Nicholls, Alejandro","Cultura",5
"Mesa, Rafael","El Montañés",30
"Mesa, Rafael","El Repertorio. Revista Mensual Ilustrada",5
"Meteyard, Sidney","El Repertorio. Revista Mensual Ilustrada",1
"Michaud-D'Hamiae, L.","Lectura Amena",1
"Michelsen Uribe, Gustavo","Revista Literaria. Publicación Mensual",1
"Mikhaël, Efraín","Revista Contemporánea",1
"Millican, Albert","Revista Literaria. Publicación Mensual",2
"Miró Ferrer, Gabriel","Panida",1
"Mockel, Albert","Revista Contemporánea",2
"Mockel, Albert","Trofeos",1
"Moireau, Auguste","Revista Moderna. (Enciclopedia colombiana)",1
"Molina Garcés, Ciro","Cultura",14
"Molina Paniagua, Modesto","Revista Literaria. Publicación Mensual",1
"Molina, Carlos A.","Lectura Amena",1
"Molina, Carlos A.","Lectura y Arte",2
"Molina, Pedro Antonio","Revista Moderna. (Enciclopedia colombiana)",1
"Monasterios Velásquez, Jesús María","Revista Literaria. Publicación Mensual",1
"Monsalve, José Dolores ","Revista Moderna. (Enciclopedia colombiana)",2
"Monte, D. L.","Lectura Amena",1
"Montes del Valle, Agripina","La Gruta",2
"Montoya Canal, Aníbal","Cultura",1
"Montoya Kennedy, F. A.","La Bohemia Alegre",2
"Montoya Pérez, Rafael","Alpha",2
"Montoya Pérez, Rafael","Lectura Amena",6
"Montoya Pérez, Rafael","Lectura y Arte",3
"Montoya, Antonio José","El Repertorio. Revista Mensual Ilustrada",1
"Montoya, Antonio José","La Bohemia Alegre",8
"Montoya, Antonio José","Lectura Amena",6
"Montoya, Antonio José","Lectura y Arte",3
"Montoya, Eladio","El Montañés",1
"Montoya, Gabriel","El Montañés",28
"Montoya, José","Alpha",4
"Montoya, José","El Montañés",6
"Montoya, José","Panida",1
"Montoya, Mariano","El Montañés",1
"Mora Vásquez, José Manuel ","Panida",2
"Mora, Félix","Revista Literaria. Publicación Mensual",1
"Mora, José Joaquín de","Revista Literaria. Publicación Mensual",1
"Mora, Luis María","La Gruta",1
"Morales Berti, Luis","Revista Moderna. (Enciclopedia colombiana)",1
"Moreno Alba, Miguel","Alpha",1
"Moreno Alba, Miguel","Lectura Amena",1
"Morice, Charles","La Gruta",1
"Moréas, Jean","Lectura Amena",1
"Moréas, Jean","Trofeos",1
"Mosquera, Tomás Cipriano de","Cultura",7
"Moussy, Martín de","Revista Literaria. Publicación Mensual",1
"Munroo, Alick","La Gruta",1
"Murena, Claudio","Trofeos",1
"Murger, Henry","La Bohemia Alegre",1
"Murillo, Bartolomé Esteban","El Montañés",1
"Musset, Alfred de ","El Montañés",2
"Muñoz Fernández, Francisco de Paula","El Repertorio. Revista Mensual Ilustrada",1
"Muñoz, Luis J.","El Montañés",1
"Márquez Bravo, Tomás","Cultura",2
"Márquez Bravo, Tomás ","Panida",1
"Márquez Cuervo, Carlos","Revista Moderna. (Enciclopedia colombiana)",1
"Méndez y Mendoza, Eugenio","Revista Literaria. Publicación Mensual",1
"Méndez, Juan de Dios","Revista Literaria. Publicación Mensual",1
"Nanfa, Crisógono de","Revista Literaria. Publicación Mensual",1
"Naranjo Martínez, Enrique","Trofeos",4
"Narváez, Antonio de","Revista Moderna. (Enciclopedia colombiana)",3
"Narváez, Roberto de","Revista Literaria. Publicación Mensual",1
"Narváez, Roberto de ","Revista Moderna. (Enciclopedia colombiana)",4
"Nauts, Carlos","El Montañés",2
"Navas Spínola, Domingo","Alpha",1
"Negueri, D.","Lectura Amena",3
"Nervo, Amado","Lectura Amena",9
"Nervo, Amado","Trofeos",1
"Nieremberg, Juan Eusebio","El Repertorio. Revista Mensual Ilustrada",2
"Nieto Caballero, Agustín","Cultura",21
"Nieto Caballero, Luis Eduardo","Cultura",4
"Nieto, Ricardo","Alpha",2
"Nieto, Ricardo","Lectura Amena",5
"Nieto, Ricardo","Trofeos",1
"Nogales, José","Lectura y Arte",1
"Nordau, Max ","Revista Contemporánea",1
"Novicow, F.","Alpha",1
"Núñez, Carlos","Lectura y Arte",1
"Núñez, Rafael","Revista Literaria. Publicación Mensual",2
"O'Kelly, James J.","Revista Literaria. Publicación Mensual",1
"Obligado, Rafael","Revista Literaria. Publicación Mensual",1
"Olano, Ricardo","Alpha",1
"Olano, Ricardo","El Montañés",2
"Olano, Ricardo","Lectura Amena",1
"Olano, Ricardo","Lectura y Arte",2
"Olarte, Enrique","Lectura y Arte",1
"Olaya Herrera, Enrique","Cultura",1
"Olaya Herrera, Enrique","Revista Moderna. (Enciclopedia colombiana)",1
"Olaya Herrera, Enrique","Trofeos",1
"Onorato, Desiderio","Cultura",1
"Orbigny, Alcide Charles Victor Marie Dessalines de","Revista Literaria. Publicación Mensual",1
"Orrego Barros, Antonio","Lectura y Arte",1
"Ortega, Alfredo","Revista Contemporánea",4
"Ortega, Alfredo Tomás","Cultura",1
"Ortiz V., Manuel","Revista Moderna. (Enciclopedia colombiana)",1
"Ortiz, José Joaquín","Revista Literaria. Publicación Mensual",2
"Ortiz, Nicolás","Revista Literaria. Publicación Mensual",1
"Ortiz, Rafael","Revista Literaria. Publicación Mensual",1
"Ortiz, Venancio","Revista Literaria. Publicación Mensual",2
"Ospina Vásquez, Mariano","Alpha",8
"Ospina Vásquez, Mariano","El Montañés",25
"Ospina Vásquez, Mariano","La Gruta",1
"Ospina Vásquez, Mariano","Lectura y Arte",6
"Ospina Vásquez, Tulio","Alpha",1
"Ospina Vásquez, Tulio","El Montañés",5
"Ospina Vásquez, Tulio","Lectura y Arte",1
"Ospina, Pedro Nel","El Montañés",3
"Ospina, Pedro Nel","El Repertorio. Revista Mensual Ilustrada",1
"Ospina, Pedro Nel","La Bohemia Alegre",1
"Ossa, Valentín","Trofeos",1
"Ossorio y Bernard, Manuel","Revista Literaria. Publicación Mensual",2
"Ouvré, Henry","Trofeos",1
"P. A.","La Gruta",1
"Paillié, Francisco A.","La Gruta",1
"Paillié, Francisco A.","Revista Contemporánea",1
"Paillié, Francisco A.","Trofeos",2
"Palacio M., Obdulio","El Repertorio. Revista Mensual Ilustrada",2
"Palacio Muñoz, Obdulio","Alpha",2
"Palacio Muñoz, Obdulio","El Montañés",1
"Palacio Uribe, Benjamín","Trofeos",1
"Palacio Uribe, Tomás","Lectura Amena",1
"Palacio, Eduardo A. ","Panida",1
"Palacio, Manuel del","Revista Literaria. Publicación Mensual",5
"Palacios, Eustaquio","Revista Literaria. Publicación Mensual",1
"Palma, Clemente","Lectura Amena",3
"Paláu R., Antonio M. ","Alpha",1
"Paláu, Alfonso","Cultura",16
"Paláu, Melchor de","Revista Literaria. Publicación Mensual",1
"Papini, Giovanni","Panida",1
"Pardo Farelo, Enrique","Alpha",3
"Pardo Farelo, Enrique","Cultura",2
"Pardo Farelo, Enrique","Revista Moderna. (Enciclopedia colombiana)",1
"Pardo Farelo, Enrique","Trofeos",2
"Parma, Juan de ","La Gruta",1
"Parra Toro, Libardo","Panida",5
"Parville, Henry de","Alpha",1
"París, Gonzalo","Cultura",2
"París, Luis","Lectura Amena",1
"Pascal, Blaise","El Repertorio. Revista Mensual Ilustrada",1
"Pastor Ríos, Justo","Lectura Amena",1
"Peláez, Anatolio","El Montañés",1
"Peláez, Aurelio","Alpha",1
"Peláez, Fidel","Revista Literaria. Publicación Mensual",1
"Pereira Gamba, Fortunato","Revista Contemporánea",2
"Pereira Gamba, Fortunato","Revista Moderna. (Enciclopedia colombiana)",1
"Pereira Gamba, Próspero","Revista Literaria. Publicación Mensual",16
"Perrier, Joseph-Luis","Revista Moderna. (Enciclopedia colombiana)",1
"Peña, Pedro A.","Trofeos",1
"Pichardo S., Manuel","Alpha",1
"Picón Febrés, Gonzalo ","Revista Literaria. Publicación Mensual",1
"Pillo, C.","El Montañés",1
"Pilon, Edmond","Trofeos",1
"Pinto, Eliseo","La Gruta",1
"Pinxit, Ch. Gill","Revista Moderna. (Enciclopedia colombiana)",1
"Pizano, Marco A.","Revista Literaria. Publicación Mensual",1
"Pizarro, Alejandro","Revista Literaria. Publicación Mensual",3
"Platón","El Repertorio. Revista Mensual Ilustrada",1
"Poe, Edgar Allan","Alpha",1
"Poe, Edgar Allan","Lectura Amena",1
"Poe, Edgar Allan","Panida",1
"Pombo, Lino de","Revista Moderna. (Enciclopedia colombiana)",1
"Pombo, Rafael","La Gruta",1
"Pombo, Rafael","Lectura Amena",3
"Pombo, Rafael","Revista Literaria. Publicación Mensual",5
"Porcar y Tió, Manuel","Revista Literaria. Publicación Mensual",1
"Porras, José Ángel","Revista Literaria. Publicación Mensual",3
"Posada Arango, Andrés","Alpha",2
"Posada Arango, Andrés","El Montañés",1
"Posada Hernández, Antonio","El Repertorio. Revista Mensual Ilustrada",2
"Posada Hernández, Antonio","La Bohemia Alegre",3
"Posada, Adolfo","Cultura",2
"Posada, Eduardo","Revista Contemporánea",6
"Posada, Eduardo","Revista Literaria. Publicación Mensual",2
"Posada, Eduardo","Revista Moderna. (Enciclopedia colombiana)",1
"Posada, Eduardo","Trofeos",3
"Posada, Guillermo","La Gruta",1
"Posada, Guillermo","Lectura Amena",1
"Posada, Guillermo","Lectura y Arte",1
"Posada, Guillermo","Trofeos",4
"Prevost, Marcel","Cultura",1
"Prudhomme, Sully","Revista Contemporánea",1
"Prudhomme, Sully","Revista Literaria. Publicación Mensual",2
"Prudhomme, Sully","Revista Moderna. (Enciclopedia colombiana)",1
"Prudhomme, Sully","Trofeos",4
"Prutz, Robert","El Repertorio. Revista Mensual Ilustrada",1
"Préndez Murúa, Pedro Nolasco","Revista Literaria. Publicación Mensual",1
"Puga de Losada, Amalia","Revista Literaria. Publicación Mensual",1
"Pujol Martínez, Juan ","Revista Moderna. (Enciclopedia colombiana)",1
"Páez M., Julián","Revista Literaria. Publicación Mensual",1
"Pérez Monsalva, Santiago","Revista Contemporánea",2
"Pérez Nieva, Alfonso","Revista Literaria. Publicación Mensual",1
"Pérez Triana, Santiago","Alpha",2
"Pérez Triana, Santiago","El Montañés",1
"Pérez Triana, Santiago","Lectura y Arte",1
"Pérez Triana, Santiago","Revista Contemporánea",3
"Pérez Triana, Santiago","Revista Moderna. (Enciclopedia colombiana)",2
"Pérez Zúñiga, Juan","Lectura Amena",1
"Pérez Zúñiga, Juan","Lectura y Arte",1
"Pérez de Guzmán y Gallo, Juan","Revista Literaria. Publicación Mensual",2
"Pérez, A. J.","Revista Moderna. (Enciclopedia colombiana)",1
"Pérez, Enrique","Cultura",1
"Pérez, Felipe","Revista Literaria. Publicación Mensual",1
"Pérez, Gregorio","El Montañés",1
"Pérez, Rafael","El Montañés",1
"Pí y Margall, Francisco","Revista Literaria. Publicación Mensual",1
"Quevedo Álvarez, Tomás","La Bohemia Alegre",5
"Quevedo, Francisco de ","Revista Literaria. Publicación Mensual",1
"Quijano Torres, Antonio","La Gruta",1
"Quijano, Arturo","Cultura",1
"Quijano, Arturo","La Gruta",5
"Quijano, Arturo","Revista Moderna. (Enciclopedia colombiana)",1
"Quijano, Arturo A.","La Gruta",1
"RR.LL","Alpha",1
"Rabot, Charles","Revista Moderna. (Enciclopedia colombiana)",1
"Rachilde","Alpha",1
"Ramos Ruiz, Gonzalo","Revista Literaria. Publicación Mensual",1
"Ramos Urdaneta, Alfredo","Revista Moderna. (Enciclopedia colombiana)",6
"Ramos, José Luis","Alpha",1
"Ramírez G., Enrique","Lectura y Arte",2
"Ramírez, Clodomiro","Alpha",1
"Ramírez, Clodomiro","Cultura",1
"Rasch Isla, Miguel","Cultura",4
"Rasch Isla, Miguel","Revista Moderna. (Enciclopedia colombiana)",1
"Remouchamps, Victor","Panida",1
"Rendón, Francisco de Paula","Alpha",2
"Rendón, Francisco de Paula","Lectura y Arte",1
"Rendón, Ricardo","Cultura",1
"Rendón, Ricardo","Panida",19
"Restrepo Briceño, Fernando","Alpha",1
"Restrepo E., José Vicente ","El Montañés",1
"Restrepo Euse, Álvaro","Alpha",3
"Restrepo Gómez, Francisco","La Gruta",1
"Restrepo Gómez, Francisco","Revista Moderna. (Enciclopedia colombiana)",2
"Restrepo Jaramillo, José Luis ","Panida",1
"Restrepo Maya, José María","Revista Literaria. Publicación Mensual",3
"Restrepo Olarte, Jesús","Panida",5
"Restrepo Restrepo, Antonio María","Alpha",4
"Restrepo Restrepo, Antonio María","El Repertorio. Revista Mensual Ilustrada",3
"Restrepo Restrepo, Antonio María","La Bohemia Alegre",6
"Restrepo Restrepo, Antonio María","Lectura Amena",18
"Restrepo Restrepo, Antonio María","Lectura y Arte",1
"Restrepo Restrepo, Antonio María","Panida",2
"Restrepo Restrepo, Carlos Eugenio","Alpha",4
"Restrepo Restrepo, Carlos Eugenio","Cultura",2
"Restrepo Restrepo, Carlos Eugenio","El Montañés",3
"Restrepo Restrepo, Carlos Eugenio","El Repertorio. Revista Mensual Ilustrada",2
"Restrepo Restrepo, Carlos Eugenio","La Bohemia Alegre",1
"Restrepo Restrepo, Carlos Eugenio","Lectura y Arte",3
"Restrepo Rivera, J.","Alpha",2
"Restrepo Rivera, Jesús","Panida",3
"Restrepo Rivera, José","Cultura",6
"Restrepo Sáenz, José María","Revista Moderna. (Enciclopedia colombiana)",1
"Restrepo Tirado, Ernesto","Revista Literaria. Publicación Mensual",15
"Restrepo Tirado, Ernesto","Revista Moderna. (Enciclopedia colombiana)",4
"Restrepo Vélez, José Manuel","Revista Literaria. Publicación Mensual",2
"Restrepo, Antonio José","Alpha",4
"Restrepo, José Manuel","Revista Literaria. Publicación Mensual",9
"Restrepo, José Manuel","Revista Moderna. (Enciclopedia colombiana)",1
"Restrepo, José María","El Montañés",2
"Restrepo, Juan de Dios","El Repertorio. Revista Mensual Ilustrada",2
"Restrepo, Lisandro","El Repertorio. Revista Mensual Ilustrada",1
"Restrepo, Lisandro","La Bohemia Alegre",1
"Restrepo, Lucio A.","El Montañés",5
"Restrepo, Paulo Emilio","El Montañés",1
"Restrepo, Paulo Emilio","El Repertorio. Revista Mensual Ilustrada",2
"Restrepo, Saturnino","Alpha",33
"Restrepo, Saturnino","El Montañés",6
"Restrepo, Saturnino","El Repertorio. Revista Mensual Ilustrada",3
"Restrepo, Saturnino","La Bohemia Alegre",9
"Restrepo, Saturnino","Lectura Amena",2
"Restrepo, Saturnino","Lectura y Arte",4
"Restrepo, Saturnino","Revista Contemporánea",1
"Restrepo, Saturnino","Trofeos",1
"Restrepo, Vicente","Revista Literaria. Publicación Mensual",17
"Retté, Adolphe","Trofeos",1
"Riche, Iván","Lectura Amena",1
"Rios de Lamperez, Blanca de los","Lectura Amena",1
"Rivas Frade, Federico","La Gruta",8
"Rivas Frade, Federico","Revista Literaria. Publicación Mensual",2
"Rivas Groot, Evaristo","Revista Moderna. (Enciclopedia colombiana)",1
"Rivas Groot, José María","Revista Literaria. Publicación Mensual",3
"Rivas Groot, José María","Revista Moderna. (Enciclopedia colombiana)",1
"Rivas, Medardo","Revista Literaria. Publicación Mensual",4
"Rivas, Raimundo","Cultura",22
"Rivera y Garrido, Luciano","Revista Literaria. Publicación Mensual",4
"Rivera, José Eustasio","Cultura",2
"Robledo J., Alfonso","Lectura Amena",1
"Robledo Villa, Alonso","Lectura y Arte",1
"Robledo, Emilio","El Montañés",3
"Robledo, Eusebio","Alpha",1
"Robledo, Eusebio","El Repertorio. Revista Mensual Ilustrada",4
"Robledo, Eusebio","Lectura Amena",3
"Robledo, Eusebio","Lectura y Arte",2
"Robledo, Eusebio","Revista Moderna. (Enciclopedia colombiana)",1
"Robledo, Jorge Samuel ","Lectura Amena",2
"Rocha, Joaquín","Revista Literaria. Publicación Mensual",1
"Rochefort, Henri","Lectura Amena",2
"Rodríguez G., Sixto","Revista Literaria. Publicación Mensual",1
"Rodríguez Moya, Francisco","Alpha",1
"Rodríguez Moya, Francisco","Lectura Amena",4
"Rodríguez O., Eugenio","Revista Contemporánea",2
"Rodríguez Rendueles, M.","Panida",1
"Rodríguez Zapata, Francisco","Revista Literaria. Publicación Mensual",1
"Rodríguez, Alfredo J.","El Montañés",1
"Rodríguez, Horacio Marino","El Montañés",28
"Rodríguez, Horacio Marino","El Repertorio. Revista Mensual Ilustrada",95
"Rodríguez, Melitón","El Montañés",4
"Rodríguez, Melitón","Lectura y Arte",1
"Rodó, José Enrique","Panida",1
"Rodó, José Enrique","Revista Moderna. (Enciclopedia colombiana)",1
"Rojas, Julio A.","Revista Contemporánea",1
"Rollinat, Maurice ","Alpha",1
"Romero A., Ángel María","Revista Literaria. Publicación Mensual",3
"Romero P., Carlos","Revista Literaria. Publicación Mensual",1
"Rosa, Leopoldo de la ","Trofeos",1
"Rosales, Carlos N.","Cultura",1
"Rosales, Carlos N.","Revista Moderna. (Enciclopedia colombiana)",1
"Rosas, Gabriel","Revista Literaria. Publicación Mensual",1
"Rossel, Juan C.","Revista Literaria. Publicación Mensual",1
"Roure, José de","Lectura Amena",1
"Roux, Hugo Le","Revista Moderna. (Enciclopedia colombiana)",1
"Rozo Martínez, Darío","La Gruta",1
"Rubió y Ors, Joaquín","Revista Literaria. Publicación Mensual",1
"Rueda Vargas, Tomás","Cultura",4
"Rueda, Salvador","El Repertorio. Revista Mensual Ilustrada",1
"Rueda, Salvador","Lectura y Arte",1
"Rusiñol, Santiago","Lectura Amena",1
"Rusiñol, Santiago","Panida",1
"Ruíz, Dael","Revista Moderna. (Enciclopedia colombiana)",12
"Régnier, Henri de","Trofeos",1
"Rémy, François","La Gruta",4
"Saavedra Galindo, José Manuel","La Gruta",1
"Saavedra Molina, Julio","Revista Moderna. (Enciclopedia colombiana)",1
"Saavedra, Ángel de","El Repertorio. Revista Mensual Ilustrada",1
"Sacher-Masoch, Leopold von","Revista Literaria. Publicación Mensual",1
"Sacher-Masoch, Leopold von ","Revista Literaria. Publicación Mensual",1
"Saco, Eduardo","Revista Literaria. Publicación Mensual",1
"Saco, José Antonio","Revista Moderna. (Enciclopedia colombiana)",1
"Saint-Victor, Paul de","El Repertorio. Revista Mensual Ilustrada",1
"Saint-Victor, Paul de","Revista Moderna. (Enciclopedia colombiana)",1
"Salamanca Torres, Demetrio","Revista Moderna. (Enciclopedia colombiana)",1
"Salazar H. Jerónimo","El Montañés",1
"Salazar Álvarez, José María","Lectura y Arte",1
"Salduba","Lectura Amena",1
"Samper de Ancízar, Agripina","Revista Literaria. Publicación Mensual",1
"Samper, Emilio","Revista Contemporánea",2
"Samper, José María ","Revista Literaria. Publicación Mensual",1
"Samper, Miguel","Revista Moderna. (Enciclopedia colombiana)",1
"Sanchéz de Iriarte, Alberto","Cultura",1
"Sant Pinxit","Revista Moderna. (Enciclopedia colombiana)",1
