source,target,weigth
"Arnault, Antoine-Vincent",Revista Azul,1
"Arniches, Carlos",Gente Vieja,1
"Arosa, Margarita",La Vida Literaria,1
"Arriola de Bezoita, Jesús",Lectura y Arte,1
"Arroquin, Carlos",Germinal,1
"Arrowsmith, Aaron",La Bibliotéca,1
"Arroyo Cáceres, B.",Germinal,3
"Artola, J.",Germinal,1
"Arzadún, Juan",La Vida Literaria,1
"Arzadún, Juan",Revista Nueva Spain,3
"Arène, Paul",Revista Azul,3
"Asbjørnsen, Peter Christen",CULTURA,1
"Asensio Más, Ramón",Alma Española,4
"Asín Palacios, Miguel",Helios,1
"Attwell Ocantos, Carlos Raúl",Alma Española,4
"Avellaneda, Nicolás",La Bibliotéca,24
"Avilés Rodríguez, Ángel",Gente Vieja,14
"Aybar, Manuel Eudoro",Revista Azul,1
"Ayguals de Izco, Wenceslao",Gente Vieja,1
"Aza, Vital",Gente Vieja,1
"Aza, Vital",Revista Azul,1
"Aza, Vital",Vida Nueva,1
"Azagra, Silverio M. de",Gente Vieja,1
"Azaña, Manuel",Gente Vieja,15
"Azcárate, G. De",Germinal,1
"Azcárate, Gumersindo de",Gente Vieja,2
"Azcárraga y Palmero, Marcelo",Alma Española,1
"Azcárraga, Marcelo de",Gente Vieja,1
B.,Germinal,2
B.,Vida Nueva,6
B. G.,Instantáneas,2
B. y S.,Vida Nueva,1
"B., E.",Vida Nueva,1
"Bacon, Francis",Alma Española,1
"Bacon, Francis",El Repertorio. Revista Mensual Ilustrada,1
Baedeker,Instantáneas,4
"Baeza, D.",Germinal,1
"Baglieto, Mariano",Gente Vieja,2
"Bahr, Hermann",Alpha,1
"Bakunin, Mikhail Aleksandrovich",Germinal,1
"Balaciart, Daniel",Gente Vieja,29
"Balaguer i Cirera, Víctor",Revista Literaria. Publicación Mensual,1
"Balart, Federico",El Repertorio. Revista Mensual Ilustrada,1
"Balart, Federico",Gente Vieja,29
"Balart, Federico",La Vida Literaria,1
"Balart, Federico",Revista Azul,7
"Balart, Federico",Revista Literaria. Publicación Mensual,3
"Balart, Federico",Vida Nueva,1
"Balbín de Unquera, Antonio",Gente Vieja,46
"Ballester, J.",La Vida Literaria,1
"Ballester, Roberto",Alma Española,1
"Ballesteros L., F.",Luz i Sombra,1
"Balmaseda de González, Joaquina",Gente Vieja,2
"Balsa de la Vega, Rafael",La Vida Literaria,1
"Balué, J. B.",Luz,3
"Balzac, Honoré de",Revista Azul,1
"Bamburghen, Eulalia de",Gente Vieja,1
Banda,Alma Española,3
"Banville, Théodore de",Revista Azul,1
"Barahona Vega, Clemente",Luz i Sombra,1
"Barbey d'Aurevilly, Jules",Revista Azul,1
"Barbier, Auguste",Alpha,1
"Barbosa, Joaquín",Germinal,1
"Barco, Ramón",Germinal,1
"Bargiela, Camilo",Arte Joven,3
"Bargiela, Camilo",La Vida Literaria,5
"Bargiela, Camilo",Luz,1
"Bargiela, Camilo",Revista Nueva Spain,1
"Barinaga, Pedro de",La Vida Literaria,1
"Bark, Ernesto",Germinal,33
"Bark, Ernesto",Vida Nueva,1
"Baroja, Pío",Alma Española,4
"Baroja, Pío",Arte Joven,2
"Baroja, Pío",Germinal,1
"Baroja, Pío",La Vida Literaria,1
"Baroja, Pío",Revista Nueva Spain,11
"Baroja, Ricardo",Alma Española,10
"Baroja, Ricardo",Arte Joven,6
"Barra, Eduardo de la",Instantáneas,2
"Barrantes, Pedro",Arte Joven,2
"Barrat, E.",Alma Española,2
"Barreda, Octavio",Luz i Sombra,1
"Barreda, Octavio",Revista Azul,3
"Barrera, Luis G.",Revista Azul,2
"Barreto, José María",Revista Moderna. (Enciclopedia colombiana),1
"Barriga Paez, J.",Trofeos,1
"Barriobero y Herrán, Eduardo",Alma Española,1
"Barros Méndez, Luis",Instantáneas,1
"Barroso, Manuel M.",Alma Española,1
"Barrès, Maurice",Alpha,2
"Barrès, Maurice",Trofeos,2
"Barrés, Maurice",El Nuevo Mercurio,1
"Barthe, Luis",Gente Vieja,3
"Bartrina, Joaquín María",El Repertorio. Revista Mensual Ilustrada,1
"Bartrina, Joaquín María",Germinal,3
"Barzini, Luigi",Alpha,1
"Barán, A. L. de",Luz,10
"Barón, Felipe",Revista Moderna. (Enciclopedia colombiana),2
"Bascaran, José de",Gente Vieja,1
"Batlle y Ordóñez, José",Gente Vieja,1
"Batlle, Carlos de",La Vida Literaria,1
"Bauda, A.",Instantáneas,2
"Baudelaire, Charles",Revista Azul,8
"Bautista  Castro, Juan",La Bibliotéca,1
"Bayaba, Elías",La Bibliotéca,1
"Bayona Posada, Jorge",Alpha,1
"Bayona Posada, Jorge",La Gruta,1
"Bayona Posada, Jorge",Panida,1
"Bazin, René",El Nuevo Mercurio,1
"Beaunier, André",Trofeos,1
"Bebel, August",Germinal,1
"Beccar Varela, Horacio",La Bibliotéca,1
"Becerra, Ricardo",Revista Moderna. (Enciclopedia colombiana),1
"Becon, Juan de",El Nuevo Mercurio,1
"Becque, Henry",Helios,1
"Bedout, C. de",Lectura Amena,1
"Beker, Abu",Revista Azul,3
"Bel, León",La Bohemia Alegre,3
Belenguer,Germinal,1
"Bellaigue, Camile",Revista Moderna. (Enciclopedia colombiana),1
"Bellaigue, Camille",Revista Azul,1
"Bellery-Desfontaines, Henri",Luz,1
"Bello, Andrés",Trofeos,1
"Bello, Luis",Alma Española,1
"Bellver, Alfredo",Arte Joven,1
"Belmonte, María del",Revista Nueva Spain,1
"Beláustegui, Luis",La Bibliotéca,1
"Benavente, Jacinto",Alma Española,1
"Benavente, Jacinto",Alpha,1
"Benavente, Jacinto",El Nuevo Mercurio,1
"Benavente, Jacinto",Gente Vieja,1
"Benavente, Jacinto",Germinal,10
"Benavente, Jacinto",Helios,4
"Benavente, Jacinto",La Vida Literaria,3
"Benavente, Jacinto",Panida,2
"Benavente, Jacinto",Renacimiento,2
"Benavente, Jacinto",Revista Nueva Spain,5
"Benedito, Manuel",Germinal,1
"Bengoa, José María",Luz i Sombra,3
"Bengoechea, Alfredo de",Revista Contemporánea,1
