Source,Target,Type,Id,Label,Weight
Revista Moderna. (Enciclopedia colombiana),"Darío, Rubén",Directed,4803,,1
Revista Nueva Spain,"Darío, Rubén",Directed,4804,,17
Trofeos,"Darío, Rubén",Directed,4805,,1
Alma Española,"Dato, Eduardo",Directed,4806,,1
Germinal,"Daudet, Alphonse",Directed,4807,,4
La Habana Literaria,"Daudet, Alphonse",Directed,4808,,1
Lectura Amena,"Daudet, Alphonse",Directed,4809,,2
Revista Azul,"Daudet, Alphonse",Directed,4810,,8
Revista Literaria. Publicación Mensual,"Daudet, Alphonse",Directed,4811,,1
Luz i Sombra,"David, Jacques-Louis-Jules",Directed,4812,,1
La Bibliotéca,"Davison, Diego T. R.",Directed,4813,,2
Revista Nueva Spain,"Davray, Henry-D.",Directed,4814,,1
Trofeos,"Davray, Henry-D.",Directed,4815,,1
Revista Azul,"De Amicis, Edmondo",Directed,4816,,3
Arte Joven,"De Guerra Junqueiro, Abílio Manuel",Directed,4817,,1
Helios,"De Quincey, Thomas",Directed,4818,,1
El Nuevo Mercurio,"Dea, Marcos",Directed,4819,,1
El Nuevo Mercurio,"Delaunay, Berthe",Directed,4820,,1
Gente Vieja,"Deleito y Piñuela, José",Directed,4821,,1
La Vida Literaria,"Delgado Uranga, Manuel",Directed,4822,,1
Gente Vieja,"Delgado, Eleuterio",Directed,4823,,1
Alpha,"Delgado, Jorge E.",Directed,4824,,1
Revista Azul,"Delgado, Juan B.",Directed,4825,,12
Revista Azul,"Delgado, Rafael",Directed,4826,,2
Instantáneas,"Delgado, Sinesio",Directed,4827,,1
Luz i Sombra,"Delgado, Sinesio",Directed,4828,,4
Revista Azul,"Delgado, Sinesio",Directed,4829,,3
La Bibliotéca,"Dellepiane, Antonio",Directed,4830,,1
Germinal,"Delorme, Rafael",Directed,4831,,29
Revista Azul,"Delpit, Albert",Directed,4832,,2
Germinal,"Demolins, Edmond",Directed,4833,,1
Revista Nueva Spain,"Derk Akffal, I. K.",Directed,4834,,1
Revista Azul,"Descaves, Lucien",Directed,4835,,1
Revista Literaria. Publicación Mensual,"Deslys, Charles",Directed,4836,,3
Gente Vieja,"Despujol, Eulogio",Directed,4837,,1
Trofeos,"Desroix, Jacques",Directed,4838,,1
Germinal,"Diaz Varela, Alejandra",Directed,4839,,1
Alma Española,"Dicenta, Joaquín",Directed,4840,,4
Gente Vieja,"Dicenta, Joaquín",Directed,4841,,2
Germinal,"Dicenta, Joaquín",Directed,4842,,33
Lectura Amena,"Dicenta, Joaquín",Directed,4843,,8
Vida Nueva,"Dicenta, Joaquín",Directed,4844,,1
La Bohemia Alegre,"Diuribía, Marcel",Directed,4845,,1
Germinal,Doctor Merlin,Directed,4846,,1
Revista Azul,Doctor Rugby,Directed,4847,,1
Gente Vieja,"Dolz del Castellar, Francisco",Directed,4848,,1
Revista Azul,"Dominici, Pedro César",Directed,4849,,2
La Bibliotéca,"Domínguez, Luis Lorenzo",Directed,4850,,2
La Vida Literaria,"Domínguez, Manuel",Directed,4851,,1
Gente Vieja,Don Nadie,Directed,4852,,1
Lectura Amena,"Donato Navarro, Manuel",Directed,4853,,2
Alma Española,"Dorado, Pedro",Directed,4854,,1
La Vida Literaria,"Doria, Evelio",Directed,4855,,2
Revista Azul,"Dostoyevsky, Fyodor",Directed,4856,,1
La Vida Literaria,"Dotres, José María",Directed,4857,,1
La Bibliotéca,"Doynel, Carlos",Directed,4858,,1
El Nuevo Mercurio,"Drago, Luis María",Directed,4859,,2
La Bibliotéca,"Drago, Luis María",Directed,4860,,1
Instantáneas,"Dublé Urrutia, Diego",Directed,4861,,4
La Bibliotéca,"Duclout, Georges",Directed,4862,,1
Revista Azul,"Dumas, Alexandre fils",Directed,4863,,6
Gente Vieja,"Dumas, Alexandre père",Directed,4864,,1
Vida Nueva,"Dumas, Alexandre père",Directed,4865,,1
Trofeos,"Dumas, Joël",Directed,4866,,1
Luz i Sombra,"Dumontell, Fulberto",Directed,4867,,1
Alpha,"Duque Uribe, Rafael",Directed,4868,,1
La Gruta,"Duque Uribe, Rafael",Directed,4869,,1
Revista Contemporánea,"Duque Uribe, Rafael",Directed,4870,,10
Trofeos,"Duque Uribe, Rafael",Directed,4871,,3
El Repertorio. Revista Mensual Ilustrada,"Duque, Antonio de J.",Directed,4872,,2
Gente Vieja,"Durán Serrano, Manuel",Directed,4873,,1
Luz i Sombra,"Dutary, Alejandro",Directed,4874,,1
Renacimiento,"Duval, Paul Alexandre Martin",Directed,4875,,1
El Repertorio. Revista Mensual Ilustrada,Dymón,Directed,4876,,1
Revista Azul,"Dávalos, Balbino",Directed,4877,,8
Revista Azul,"Déroulède, Paul",Directed,4878,,1
Alpha,"Déubel, Leon",Directed,4879,,1
Revista Azul,"Díaz Dufóo, Carlos",Directed,4880,,224
Gente Vieja,"Díaz Gallo y Muguruza, Félix",Directed,4881,,56
Instantáneas,"Díaz Garcés, Joaquín",Directed,4882,,1
Revista Literaria. Publicación Mensual,"Díaz Guerra, Alirio",Directed,4883,,1
Revista Azul,"Díaz Mirón, Salvador",Directed,4884,,7
Alma Española,"Díaz Pérez, Viriato",Directed,4885,,2
El Nuevo Mercurio,"Díaz Rodríguez, Manuel",Directed,4886,,1
Revista Azul,"Díaz Rodríguez, Manuel",Directed,4887,,1
Revista Moderna. (Enciclopedia colombiana),"Díaz Rodríguez, Manuel",Directed,4888,,1
El Nuevo Mercurio,"Díaz Romero, Eugenio",Directed,4889,,1
Renacimiento,"Díaz Romero, Eugenio",Directed,4890,,1
Revista Contemporánea,"Díaz Romero, Eugenio",Directed,4891,,2
Revista Nueva Spain,"Díaz Romero, Eugenio",Directed,4892,,1
Gente Vieja,"Díaz Vázquez, José",Directed,4893,,1
Gente Vieja,"Díaz de Benjumea, Nicolás",Directed,4894,,1
Gente Vieja,"Díaz de Escovar, Narciso",Directed,4895,,6
La Vida Literaria,"Díaz de Escovar, Narciso",Directed,4896,,2
Revista Literaria. Publicación Mensual,"Díaz del Castillo, Ildefonso",Directed,4897,,1
Gente Vieja,"Díaz y Pérez, Nicolás",Directed,4898,,15
Gente Vieja,"Díaz y Valero, Carlos",Directed,4899,,1
Lectura Amena,"Díaz, Leopoldo",Directed,4900,,1
Panida,"Díaz, Leopoldo",Directed,4901,,1
Revista Azul,"Díaz, Leopoldo",Directed,4902,,1
Revista Literaria. Publicación Mensual,"Díaz, Leopoldo",Directed,4903,,1
Revista Nueva Spain,"Díaz, Leopoldo",Directed,4904,,9
Trofeos,"Díaz, Leopoldo",Directed,4905,,3
Alpha,"Díaz, Pedro Pablo",Directed,4906,,1
Gente Vieja,"Díaz-Pérez, Viriato",Directed,4907,,1
Helios,"Díaz-Pérez, Viriato",Directed,4908,,3
Panida,"Díez Canedo, Enrique",Directed,4909,,1
Revista Moderna. (Enciclopedia colombiana),"Díez Canedo, Manuel",Directed,4910,,1
Luz i Sombra,"Díez de Medina, Eduardo",Directed,4911,,1
El Nuevo Mercurio,"Díez-Canedo, Enrique",Directed,4912,,3
Renacimiento,"Díez-Canedo, Enrique",Directed,4913,,7
La Vida Literaria,"Dürer, Albrecht",Directed,4914,,1
Gente Vieja,E.,Directed,4915,,1
Vida Nueva,E.,Directed,4916,,2
Luz,E. M.,Directed,4917,,1
Luz,E. S.,Directed,4918,,1
Vida Nueva,"E., J. de",Directed,4919,,2
La Gruta,EDOS,Directed,4920,,1
El Nuevo Mercurio,"East, A.",Directed,4921,,1
Alpha,"Eastman, Tomás Oziel",Directed,4922,,2
CULTURA,"Eastman, Tomás Oziel",Directed,4923,,1
Lectura Amena,"Echagüe, Francisco",Directed,4924,,1
Lectura Amena,"Echavarría Vélez, Liborio",Directed,4925,,1
La Vida Literaria,"Echeandía, Julio",Directed,4926,,1
Gente Vieja,"Echegaray, José",Directed,4927,,11
Germinal,"Echegaray, José",Directed,4928,,1
Instantáneas,"Echegaray, José",Directed,4929,,2
Luz i Sombra,"Echegaray, José",Directed,4930,,1
Revista Azul,"Echegaray, José",Directed,4931,,6
Revista Literaria. Publicación Mensual,"Echegaray, José",Directed,4932,,1
Luz i Sombra,"Echegaray, Miguel",Directed,4933,,1
Lectura Amena,"Echegorri, P.",Directed,4934,,1
El Repertorio. Revista Mensual Ilustrada,"Echeverri, Camilo Antonio",Directed,4935,,6
La Gruta,"Echeverría, Eduardo",Directed,4936,,3
Lectura y Arte,"Echeverría, Eduardo",Directed,4937,,1
La Gruta,"Echeverría, Marcelino",Directed,4938,,2
Instantáneas,"Egavra, I.",Directed,4947,,2
Instantáneas,"Egawa, I.",Directed,4948,,2
Instantáneas,"Egowa, I.",Directed,4949,,1
Instantáneas,"Eiffel, Honorio",Directed,4950,,1
Gente Vieja,El Alcalde de Totana,Directed,4951,,1
La Vida Literaria,El Barquero,Directed,4952,,1
Gente Vieja,El Bobo de Coria,Directed,4953,,2
Gente Vieja,El Conde de Cedillo,Directed,4954,,1
Gente Vieja,El Conde de Fabraquer,Directed,4955,,1
Gente Vieja,El Conde de Las Almenas,Directed,4956,,1
Gente Vieja,El Conde de Liniers,Directed,4957,,1
Gente Vieja,El Conde de Romanones,Directed,4958,,2
Gente Vieja,El Conde de Tejada de Valdosera,Directed,4959,,1
Gente Vieja,El Conde de las Navas,Directed,4960,,1
Gente Vieja,El Corresponsal,Directed,4961,,1
Instantáneas,El Cuentista,Directed,4962,,3
La Vida Literaria,El Diablo Cojuelo,Directed,4963,,1
Gente Vieja,El Doctor Fausto,Directed,4964,,1
Gente Vieja,El Duque de Osuna y de Uceda,Directed,4965,,1
Gente Vieja,El Duque de Rivas,Directed,4966,,1
Helios,El Greco,Directed,4967,,1
Luz,El Greco,Directed,4968,,1
Gente Vieja,El Marqués de Figueroa,Directed,4969,,1
Gente Vieja,El Marqués de Pilares,Directed,4970,,1
Gente Vieja,El Marqués de Urquijo,Directed,4971,,1
Gente Vieja,El Marqués de Valmar,Directed,4972,,1
Gente Vieja,El Marqués de la Vega de Armijo,Directed,4973,,1
Alma Española,El Obispo de Sión,Directed,4974,,1
Alma Española,El Sastre del Campillo,Directed,4975,,1
Instantáneas,El Trocadero,Directed,4976,,1
Gente Vieja,El Vizdonde de Campo Grande,Directed,4977,,1
Germinal,El administrador,Directed,4978,,1
Gente Vieja,El amigo del amigo,Directed,4979,,1
Gente Vieja,El sastre de Campillo,Directed,4980,,1
Vida Nueva,Elleide,Directed,4981,,3
Vida Nueva,"Elola, José de",Directed,4982,,1
Vida Nueva,"Elorriaga, Ernesto",Directed,4983,,2
Luz i Sombra,Elí,Directed,4984,,1
Revista Azul,"Enggerg, J.",Directed,4985,,1
Alpha,"Eraña, Silverio",Directed,4986,,1
Germinal,"Escalante Gómez, Manuel",Directed,4987,,1
Vida Nueva,Escalas,Directed,4988,,1
CULTURA,"Escallón, Rafael",Directed,4989,,4
Gente Vieja,"Escayola, Manuel de",Directed,4990,,1
CULTURA,"Escobar Larrazábal, Melitón",Directed,4991,,21
Revista Moderna. (Enciclopedia colombiana),"Escobar Padilla, Cenón",Directed,4992,,1
Revista Literaria. Publicación Mensual,"Escobar Pino, Roberto",Directed,4993,,3
Revista Literaria. Publicación Mensual,"Escobar R., Eusebio",Directed,4994,,1
La Gruta,"Escobar Roa, Rafael",Directed,4995,,2
Alpha,"Escobar Rojo, Severo",Directed,4996,,4
Trofeos,"Escobar Sarmiento, Ricardo",Directed,4997,,2
La Gruta,"Escobar, Felipe S.",Directed,4998,,1
El Montañés,"Escobar, Francisco",Directed,4999,,1
La Gruta,"Escobar, Mario",Directed,5000,,3
La Gruta,"Escobar, Pedro Ignacio",Directed,5001,,7
Germinal,Escoristo,Directed,5002,,1
El Montañés,"Escovar Gaviria, Gonzalo",Directed,5003,,2
El Montañés,"Escovar, José María",Directed,5004,,8
El Nuevo Mercurio,"Escudero, Salvador",Directed,5005,,1
Revista Literaria. Publicación Mensual,"Esguerra Ortiz, Joaquín",Directed,5006,,1
Revista Moderna. (Enciclopedia colombiana),"Esguerra, Manuel",Directed,5007,,2
CULTURA,"Esguerra, Nicolás",Directed,5008,,1
Gente Vieja,"Espada, Juan Manuel",Directed,5009,,1
La Vida Literaria,"Esparbès, Georges d'",Directed,5010,,1
Luz,"España, Martin",Directed,5011,,2
El Nuevo Mercurio,"Espie, Adolph d'",Directed,5012,,1
La Vida Literaria,"Espina, J.",Directed,5013,,1
La Gruta,"Espinosa Guzmán, Rafael",Directed,5014,,29
Trofeos,"Espinosa Guzmán, Rafael",Directed,5015,,2
Gente Vieja,"Espinosa, Enrique de",Directed,5016,,2
Revista Literaria. Publicación Mensual,"Espinosa, Roberto",Directed,5017,,1
Vida Nueva,"Espronceda, José de",Directed,5018,,1
Revista Moderna. (Enciclopedia colombiana),"Esquivel Obregón, Toribio",Directed,5019,,1
Germinal,"Esser, F.",Directed,5020,,1
La Habana Literaria,Estados Unidos do Brasil,Directed,5021,,1
Revista Azul,"Estelrich, Juan Luis",Directed,5022,,1
Revista Nueva Spain,"Estelrich, Juan Luis",Directed,5023,,1
La Vida Literaria,"Estepa, Francisco de",Directed,5024,,1
Revista Azul,"Esteva, Adalberto A.",Directed,5025,,9
Revista Azul,"Esteva, José María",Directed,5026,,1
El Nuevo Mercurio,"Esteva, Raúl A.",Directed,5027,,1
Revista Literaria. Publicación Mensual,"Estrada Paniagua, Felipe",Directed,5028,,1
El Nuevo Mercurio,"Estrada, Ángel de",Directed,5029,,1
Gente Vieja,"Estrañi, José",Directed,5030,,4
Gente Vieja,"Estrella, Gabriel",Directed,5031,,1
Revista Azul,"Estremera, José",Directed,5032,,2
Alma Española,"Estéban, Enrique",Directed,5033,,4
Gente Vieja,"Estévanez, Nicolás",Directed,5034,,8
Gente Vieja,F. D. G.,Directed,5035,,1
Helios,F. V.,Directed,5036,,1
Gente Vieja,"Fabraquer, José Muñoz Maldonado, conde de",Directed,5037,,19
Germinal,"Fabrés, Antonio",Directed,5038,,1
Revista Azul,"Facio, Justo A.",Directed,5039,,8
El Nuevo Mercurio,"Faguet, Émile",Directed,5040,,1
Germinal,"Faguet, Émile",Directed,5041,,1
Revista Azul,"Fallon, Diego",Directed,5042,,1
Revista Moderna. (Enciclopedia colombiana),"Fallon, Diego",Directed,5043,,1
El Nuevo Mercurio,"Fariña Núñez, Eloy",Directed,5044,,1
El Nuevo Mercurio,"Farrére, Claude",Directed,5045,,1
La Vida Literaria,"Faura, G.",Directed,5046,,20
El Nuevo Mercurio,"Faure, Firmin",Directed,5047,,1
Instantáneas,"Fauré, A.",Directed,5048,,1
Revista Azul,"Faust, Camille Laurent Célestin",Directed,5049,,1
Revista Azul,"Favre, Jules",Directed,5050,,1
Revista Azul,"Febres Cordero, Tulio",Directed,5051,,1
Revista Literaria. Publicación Mensual,"Febres Cordero, Tulio",Directed,5052,,3
La Vida Literaria,"Feijóo, Alfredo F.",Directed,5053,,3
Alma Española,"Feliu i de Lemus, Manuel",Directed,5054,,1
Gente Vieja,"Fernando de la Serna, Agustín",Directed,5055,,7
Gente Vieja,"Fernández Alonso, Benito",Directed,5056,,4
El Montañés,"Fernández Avendaño, Enrique Wenceslao",Directed,5057,,4
El Repertorio. Revista Mensual Ilustrada,"Fernández Avendaño, Enrique Wenceslao",Directed,5058,,3
Lectura Amena,"Fernández Avendaño, Enrique Wenceslao",Directed,5059,,1
Lectura y Arte,"Fernández Avendaño, Enrique Wenceslao",Directed,5060,,1
Revista Literaria. Publicación Mensual,"Fernández Avendaño, Enrique Wenceslao",Directed,5061,,5
Gente Vieja,"Fernández Brañas, Adolfo",Directed,5062,,1
Gente Vieja,"Fernández Bremón, José",Directed,5063,,8
Luz i Sombra,"Fernández Bremón, José",Directed,5064,,1
Revista Azul,"Fernández Bremón, José",Directed,5065,,4
Gente Vieja,"Fernández Caballero, Manuel",Directed,5066,,2
Vida Nueva,"Fernández Corugedo, Emilio",Directed,5067,,1
Lectura Amena,"Fernández García, Alejandro",Directed,5068,,2
Revista Contemporánea,"Fernández García, Alejandro",Directed,5069,,3
Trofeos,"Fernández García, Alejandro",Directed,5070,,1
Revista Azul,"Fernández Granados, Enrique",Directed,5071,,8
Gente Vieja,"Fernández Grilo, Antonio",Directed,5072,,16
Revista Azul,"Fernández Grilo, Antonio",Directed,5073,,2
Revista Azul,"Fernández Guardia, Ricardo",Directed,5074,,4
Gente Vieja,"Fernández Jiménez, José",Directed,5075,,1
Luz i Sombra,"Fernández Montalva, Ricardo",Directed,5076,,1
Panida,"Fernández Ríos, Ovidio",Directed,5077,,1
Gente Vieja,"Fernández Saus, Ramiro",Directed,5078,,1
Arte Joven,"Fernández Vaamonde, Emilio",Directed,5079,,1
Germinal,"Fernández Vaamonde, Emilio",Directed,5080,,3
La Vida Literaria,"Fernández Vaamonde, Emilio",Directed,5081,,1
Revista Azul,"Fernández Vaamonde, Emilio",Directed,5082,,1
Revista Literaria. Publicación Mensual,"Fernández Villegas, Francisco",Directed,5083,,1
Vida Nueva,"Fernández Villegas, Francisco",Directed,5084,,7
Gente Vieja,"Fernández de Moratín, Leandro",Directed,5085,,1
Gente Vieja,"Fernández de la Hoz, José",Directed,5086,,1
Gente Vieja,"Fernández y García, Antonio",Directed,5087,,1
Gente Vieja,"Fernández y González, Manuel",Directed,5088,,2
El Nuevo Mercurio,"Fernández, Francisco F.",Directed,5089,,1
Gente Vieja,"Fernández, Manuel",Directed,5090,,1
Revista Literaria. Publicación Mensual,"Fernández, Manuel M.",Directed,5091,,2
Revista Literaria. Publicación Mensual,"Fernández, Rafael César",Directed,5092,,1
Gente Vieja,"Fernández-Shaw, Carlos",Directed,5093,,1
Gente Vieja,"Ferrari, Emilio",Directed,5094,,2
Germinal,"Ferrari, Emilio",Directed,5095,,1
Revista Azul,"Ferrari, Emilio",Directed,5096,,2
Revista Literaria. Publicación Mensual,"Ferrari, Emilio",Directed,5097,,1
Vida Nueva,"Ferrari, Emilio",Directed,5098,,1
Helios,"Ferreira, Eduardo",Directed,5099,,1
El Repertorio. Revista Mensual Ilustrada,"Ferrer L., Eduardo",Directed,5100,,1
La Bohemia Alegre,"Ferrer, Jesús",Directed,5101,,4
El Nuevo Mercurio,"Ferrero, Guglielmo",Directed,5102,,2
Revista Moderna. (Enciclopedia colombiana),"Ferrero, Guillermo",Directed,5103,,1
Germinal,"Ferri, Enrico",Directed,5104,,1
Revista Nueva Spain,"Ferri, Enrico",Directed,5105,,1
Germinal,Ferroviere,Directed,5106,,1
Revista Azul,"Fiallo, Fabio",Directed,5107,,1
Revista Azul,"Fiansón, José",Directed,5108,,2
Instantáneas,"Figueroa, Luis",Directed,5109,,2
Revista Azul,"Figueroa, Pedro Pablo",Directed,5110,,2
Germinal,"Fillos, J.",Directed,5111,,1
Revista Nueva Spain,"Filon, Agustin",Directed,5112,,1
Revista Azul,"Flammarión, Camille",Directed,5113,,1
Revista Azul,"Flaubert, Gustave",Directed,5114,,1
Revista Literaria. Publicación Mensual,"Fleuriot-Kerinou, Francis",Directed,5115,,1
Germinal,"Flores García, Francisco",Directed,5116,,1
Instantáneas,"Flores García, Francisco",Directed,5117,,6
Luz i Sombra,"Flores García, Francisco",Directed,5118,,1
Revista Azul,"Flores, Julio",Directed,5119,,6
Revista Azul,"Flores, Manuel María",Directed,5120,,6
Instantáneas,"Fléury, F.",Directed,5121,,1
Revista Literaria. Publicación Mensual,"Flórez Galindo, Federico",Directed,5122,,1
La Gruta,"Flórez Álvarez, Ester",Directed,5123,,2
Trofeos,"Flórez Álvarez, Ester",Directed,5124,,1
El Repertorio. Revista Mensual Ilustrada,"Flórez, Julio",Directed,5125,,2
La Gruta,"Flórez, Julio",Directed,5126,,3
Lectura Amena,"Flórez, Julio",Directed,5127,,2
Revista Nueva Spain,"Fogazzaro, Antonio",Directed,5128,,1
Revista Nueva Spain,"Fola Igúrbide, José",Directed,5129,,3
La Habana Literaria,"Fontanills, Enrique",Directed,5130,,7
Alma Española,"Forain, Jean-Louis",Directed,5131,,2
La Vida Literaria,"Forain, Jean-Louis",Directed,5132,,1
El Nuevo Mercurio,"Formont, Maxime",Directed,5133,,1
Gente Vieja,"Fornés, Vicente",Directed,5134,,1
Gente Vieja,"Forrester, Tamy",Directed,5135,,1
Revista Azul,"Fors, Luis Ricardo",Directed,5136,,1
Panida,"Fort, Paul",Directed,5137,,3
Trofeos,"Fort, Paul",Directed,5138,,4
Luz,"Fortescue-Brickdale, Eleanor",Directed,5139,,1
Gente Vieja,"Fortuny, Mariano",Directed,5140,,1
Germinal,"Fraguas, José María",Directed,5141,,2
El Nuevo Mercurio,"France, Anatole",Directed,5142,,1
La Habana Literaria,"France, Anatole",Directed,5143,,1
Panida,"France, Anatole",Directed,5144,,1
Revista Azul,"France, Anatole",Directed,5145,,3
Revista Nueva Spain,"France, Anatole",Directed,5146,,1
La Gruta,"Francisco, Julio de",Directed,5147,,7
Lectura y Arte,"Francisco, Julio de",Directed,5148,,1
Revista Literaria. Publicación Mensual,"Francisco, Ricardo de",Directed,5149,,1
Revista Literaria. Publicación Mensual,"Franco, Enrique",Directed,5150,,1
Alma Española,"Francos Rodríguez, José",Directed,5151,,1
Gente Vieja,"Francos Rodríguez, José",Directed,5152,,1
Revista Nueva Spain,"Francos Rodríguez, José",Directed,5153,,1
Alma Española,"Francés, José",Directed,5154,,5
El Nuevo Mercurio,"Francés, José",Directed,5155,,4
Gente Vieja,"Francés, José",Directed,5156,,1
La Vida Literaria,"Francés, José",Directed,5157,,1
Panida,"Francés, José",Directed,5158,,1
Renacimiento,"Francés, José",Directed,5159,,7
Alma Española,"Franzen, Christian",Directed,5160,,30
La Bibliotéca,"Fregeiro, Clemente L.",Directed,5161,,1
Gente Vieja,"Frontaura, Carlos",Directed,5162,,8
Revista Literaria. Publicación Mensual,"Frontaura, Carlos",Directed,5163,,1
Germinal,"Fuente Alcocer, Ricardo",Directed,5164,,7
La Vida Literaria,"Fuentes, Diego de",Directed,5165,,1
Luz,"Fuentes, Enric de",Directed,5166,,3
Gente Vieja,Fufú,Directed,5167,,1
Lectura Amena,Fx. B.,Directed,5168,,1
Alma Española,"Fénelon, François de Salignac de la Mothe",Directed,5169,,2
Revista Azul,"Fénelon, François de Salignac de la Mothe",Directed,5170,,1
El Repertorio. Revista Mensual Ilustrada,"Féval, Paul",Directed,5171,,1
Luz,"Füller, José",Directed,5172,,1
La Vida Literaria,G.,Directed,5173,,1
Luz i Sombra,G. 2.° H.,Directed,5174,,2
Alma Española,"Gabaldón, Luis",Directed,5175,,5
Revista Literaria. Publicación Mensual,"Gabriac, Alexis de",Directed,5176,,1
Gente Vieja,"Gabriel y Galán, José María",Directed,5177,,1
La Bibliotéca,"Gache, Samuel",Directed,5178,,2
La Gruta,"Gaitán O., Gustavo",Directed,5179,,2
Revista Contemporánea,"Gaitán O., Gustavo",Directed,5180,,2
Gente Vieja,"Galdo, Manuel María José de",Directed,5181,,1
Luz i Sombra,"Galdámes, Luis",Directed,5182,,3
Revista Literaria. Publicación Mensual,"Galindo, Aníbal",Directed,5183,,1
Revista Azul,"Gallego, Juan Nicasio",Directed,5184,,1
Revista Azul,"Gallegos del Campo, Emilio",Directed,5185,,2
Germinal,"Gallegos, José",Directed,5186,,1
El Nuevo Mercurio,"Gamboa Ricalde, Álvaro",Directed,5187,,1
Revista Azul,"Gamboa, Federico",Directed,5188,,8
Lectura Amena,"Gamboa, Isaías",Directed,5189,,1
El Nuevo Mercurio,"Gamboa, José Joaquín",Directed,5190,,1
Revista Azul,"Gamboa, José Joaquín",Directed,5191,,1
Lectura Amena,"Gamboa, Mateo",Directed,5192,,1
Alpha,"Gamero, Luis",Directed,5193,,1
El Nuevo Mercurio,"Gamio, Manuel",Directed,5194,,1
Instantáneas,Gandul,Directed,5195,,1
Helios,"Ganivet, Ángel",Directed,5196,,6
CULTURA,"Garavito Armero, Julio",Directed,5197,,2
CULTURA,"Garay, Epifanio",Directed,5198,,2
Lectura y Arte,"Garay, Epifanio",Directed,5199,,2
CULTURA,"Garcés, Enrique",Directed,5200,,3
El Montañés,"Garcés, Leopoldo",Directed,5201,,2
Gente Vieja,"García Bremón, Enrique",Directed,5202,,1
El Nuevo Mercurio,"García Calderón, Francisco",Directed,5203,,2
Revista Contemporánea,"García Calvo, Federico",Directed,5204,,1
Germinal,"García Cano, Agustín",Directed,5205,,6
La Vida Literaria,"García Cano, Agustín",Directed,5206,,1
Luz i Sombra,"García Cisneros, Francisco",Directed,5207,,6
Revista Azul,"García Cisneros, Francisco",Directed,5208,,14
Luz i Sombra,"García F., Ana M.",Directed,5209,,1
Revista Azul,"García Kohly, Mario",Directed,5210,,1
Gente Vieja,"García Lovera, Rafael",Directed,5211,,2
Germinal,"García Mencía, Antonio",Directed,5212,,1
La Bibliotéca,"García Mérou, Martín",Directed,5213,,8
Revista Azul,"García Mérou, Martín",Directed,5214,,3
Revista Literaria. Publicación Mensual,"García Mérou, Martín",Directed,5215,,1
El Nuevo Mercurio,"García Naranjo, Nemesio",Directed,5216,,1
Gente Vieja,"García Ortega, Francisco",Directed,5217,,1
CULTURA,"García Ortiz, Laureano",Directed,5218,,1
Revista Contemporánea,"García Ortiz, Laureano",Directed,5219,,3
Germinal,"García Peláez, Francisco de Paula",Directed,5220,,1
Luz i Sombra,"García Raurich, Josep",Directed,5221,,1
La Vida Literaria,"García Rendueles, Rogelio",Directed,5222,,2
Gente Vieja,"García Retortillo, E.",Directed,5223,,1
La Gruta,"García Rico, Francisco",Directed,5224,,1
CULTURA,"García Samudio, Nicolás",Directed,5225,,5
Renacimiento,"García Sanchiz, Federico",Directed,5226,,2
Gente Vieja,"García Suárez, José María",Directed,5227,,1
Gente Vieja,"García Valiente, César",Directed,5228,,1
CULTURA,"García Zamudio, Nicolás",Directed,5229,,1
Alma Española,"García de Polavieja y del Castillo, Camilo",Directed,5230,,1
Gente Vieja,"García de Polavieja y del Castillo, Camilo",Directed,5231,,1
Revista Nueva Spain,"García de la Barga, Pedro",Directed,5232,,1
Germinal,"García y Ramos, José",Directed,5233,,1
Luz i Sombra,"García, Adolfo",Directed,5234,,2
Revista Azul,"García, Adolfo",Directed,5235,,1
Revista Literaria. Publicación Mensual,"García, Evaristo",Directed,5236,,1
La Bibliotéca,"García, Juan Agustín",Directed,5237,,3
Revista Moderna. (Enciclopedia colombiana),"García, Juan Crisóstomo",Directed,5238,,1
La Bibliotéca,"García, Pedro Andrés",Directed,5239,,7
Revista Azul,"García, Telesforo",Directed,5240,,1
Gente Vieja,"García-Herráiz, Luis",Directed,5241,,1
Gente Vieja,"García-Plata de Osma, Rafael",Directed,5242,,1
La Bibliotéca,"Gardearabal, Luis de",Directed,5243,,1
La Vida Literaria,"Garnelo y Alda, José",Directed,5244,,3
Alpha,"Gartner, Hugo",Directed,5245,,1
Gente Vieja,"Garín, Arturo",Directed,5246,,1
La Vida Literaria,Gascón,Directed,5247,,1
Gente Vieja,"Gaspar, Enrique",Directed,5248,,11
Vida Nueva,"Gasset y Artime, Eduardo",Directed,5249,,1
Gente Vieja,"Gasset, Rafael",Directed,5250,,1
Helios,"Gaubert, Ernest",Directed,5251,,1
Revista Moderna. (Enciclopedia colombiana),"Gautier, Judith",Directed,5252,,2
Germinal,"Gautier, Théophile",Directed,5253,,1
Lectura Amena,"Gautier, Théophile",Directed,5254,,1
Revista Azul,"Gautier, Théophile",Directed,5255,,4
Revista Nueva Spain,"Gavidia, Francisco",Directed,5256,,1
La Bohemia Alegre,"Gaviria Arango, Enrique",Directed,5257,,1
El Repertorio. Revista Mensual Ilustrada,"Gaviria I., Henrique",Directed,5258,,1
Lectura y Arte,"Gaviria Isaza, Henrique",Directed,5259,,1
Alpha,"Gaviria, José A.",Directed,5260,,2
El Montañés,"Gaviria, José A.",Directed,5261,,2
Luz,"Gay, Joan",Directed,5262,,17
