Source,Target,Type,Id,Label,Weight,n
El Repertorio. Revista Mensual Ilustrada,"Botero Ruiz, Juan José",Directed,103,,2,2
Lectura y Arte,"Botero Ruiz, Juan José",Directed,104,,1,1
El Montañés,"Botero, Manuel E.",Directed,105,,3,3
Revista Literaria. Publicación Mensual,"Bouet, Carlos",Directed,106,,1,1
Lectura Amena,"Bouret, Alonso",Directed,107,,1,1
El Repertorio. Revista Mensual Ilustrada,"Bourget, Paul",Directed,108,,1,1
Lectura Amena,"Bourget, Paul",Directed,109,,1,1
Lectura y Arte,"Bourget, Paul",Directed,110,,1,1
Lectura Amena,"Breen, M.",Directed,111,,1,1
Trofeos,"Briand, Aristide",Directed,112,,1,1
La Gruta,"Briceño, Manuel",Directed,113,,1,1
Trofeos,"Briceño, Manuel",Directed,114,,1,1
Revista Moderna. (Enciclopedia colombiana),"Brisay, Henry de",Directed,115,,2,2
Alpha,"Brooks, Adam",Directed,116,,1,1
Revista Contemporánea,"Bueno, Manuel",Directed,117,,1,1
Revista Literaria. Publicación Mensual,"Burns, Robert",Directed,118,,1,1
Panida,"Bécquer, Gustavo Adolfo",Directed,119,,1,1
Revista Literaria. Publicación Mensual,"Böhl de Faber y Ruiz de Larrea, Cecilia",Directed,120,,1,1
CULTURA,"Caballero, Lucas",Directed,121,,1,1
Revista Literaria. Publicación Mensual,"Cabello de Carbonera, Mercedes",Directed,122,,2,2
Lectura Amena,"Cadenas, José Juan",Directed,123,,1,1
Revista Literaria. Publicación Mensual,"Caicedo Rojas, José",Directed,124,,4,4
Revista Moderna. (Enciclopedia colombiana),"Caicedo Rojas, José",Directed,125,,1,1
Revista Literaria. Publicación Mensual,"Calcaño, Eduardo",Directed,126,,1,1
Revista Literaria. Publicación Mensual,"Calcaño, José Antonio",Directed,127,,3,3
Revista Literaria. Publicación Mensual,"Calcaño, Julio",Directed,128,,4,4
El Repertorio. Revista Mensual Ilustrada,"Calderón de la Barca, Pedro",Directed,129,,1,1
La Gruta,"Calderón, Luis Eduardo",Directed,130,,1,1
Revista Literaria. Publicación Mensual,"Camacho Roldán, Salvador",Directed,131,,1,1
Revista Moderna. (Enciclopedia colombiana),"Camacho Roldán, Salvador",Directed,132,,1,1
CULTURA,"Camacho, Martín",Directed,133,,1,1
La Bohemia Alegre,"Campo, Carlos del",Directed,134,,1,1
Revista Literaria. Publicación Mensual,"Campoamor, Ramón de",Directed,135,,3,3
El Repertorio. Revista Mensual Ilustrada,"Cancio Tobón, Juan",Directed,136,,1,1
Alpha,"Cano Gutiérrez, Fidel",Directed,137,,4,4
CULTURA,"Cano Gutiérrez, Fidel",Directed,138,,3,3
El Montañés,"Cano Gutiérrez, Fidel",Directed,139,,1,1
El Repertorio. Revista Mensual Ilustrada,"Cano Gutiérrez, Fidel",Directed,140,,4,4
La Bohemia Alegre,"Cano Gutiérrez, Fidel",Directed,141,,1,1
Lectura Amena,"Cano Gutiérrez, Fidel",Directed,142,,5,5
Lectura y Arte,"Cano Gutiérrez, Fidel",Directed,143,,1,1
Lectura y Arte,"Cano Isaza, F.",Directed,144,,1,1
Alpha,"Cano Villegas, Gabriel",Directed,145,,1,1
CULTURA,"Cano Villegas, Gabriel",Directed,146,,1,1
Alpha,"Cano, Antonio José",Directed,147,,4,4
Lectura Amena,"Cano, Antonio José",Directed,148,,7,7
Lectura y Arte,"Cano, Antonio José",Directed,149,,4,4
Panida,"Cano, Antonio José",Directed,150,,1,1
Revista Contemporánea,"Cano, Antonio José",Directed,151,,1,1
Trofeos,"Cano, Antonio José",Directed,152,,1,1
El Montañés,"Cano, Francisco Antonio",Directed,153,,14,14
El Repertorio. Revista Mensual Ilustrada,"Cano, Francisco Antonio",Directed,154,,21,21
Lectura y Arte,"Cano, Francisco Antonio",Directed,155,,28,28
Alpha,"Cano, Luis",Directed,156,,3,3
CULTURA,"Cano, Luis",Directed,157,,1,1
Lectura Amena,"Cano, Luis",Directed,158,,10,10
La Gruta,"Cantillo, Liborio D.",Directed,159,,1,1
Revista Literaria. Publicación Mensual,"Cantó Vilaplana, Gonzalo",Directed,160,,1,1
Revista Literaria. Publicación Mensual,"Capuana, Luigi",Directed,161,,1,1
La Gruta,"Carbonell, Gonzalo",Directed,162,,1,1
Lectura Amena,"Cardenas, Bernardino",Directed,163,,1,1
Revista Literaria. Publicación Mensual,"Carducci, Giosuè",Directed,164,,1,1
Revista Moderna. (Enciclopedia colombiana),"Carducci, Giosuè",Directed,165,,1,1
Trofeos,"Carducci, Giosuè",Directed,166,,8,8
Revista Literaria. Publicación Mensual,"Carlyle, Thomas",Directed,167,,1,1
Revista Literaria. Publicación Mensual,"Caro, José Eusebio",Directed,168,,16,16
CULTURA,"Caro, Luis Alejandro",Directed,169,,1,1
CULTURA,"Caro, Miguel Antonio",Directed,170,,1,1
Revista Literaria. Publicación Mensual,"Caro, Miguel Antonio",Directed,171,,10,10
Revista Moderna. (Enciclopedia colombiana),"Caro, Miguel Antonio",Directed,172,,2,2
CULTURA,"Caro, Víctor Eduardo",Directed,173,,1,1
Revista Literaria. Publicación Mensual,"Carranza, Adolfo Pedro",Directed,174,,1,1
Alpha,"Carrasquilla L., Juan de Dios",Directed,175,,1,1
Revista Contemporánea,"Carrasquilla L., Juan de Dios",Directed,176,,3,3
Revista Literaria. Publicación Mensual,"Carrasquilla, Ricardo",Directed,177,,1,1
Alpha,"Carrasquilla, Tomás",Directed,178,,13,13
El Montañés,"Carrasquilla, Tomás",Directed,179,,6,6
El Repertorio. Revista Mensual Ilustrada,"Carrasquilla, Tomás",Directed,180,,1,1
Lectura Amena,"Carrasquilla, Tomás",Directed,181,,1,1
Revista Moderna. (Enciclopedia colombiana),"Carrere Moreno, Emilio",Directed,182,,1,1
Revista Moderna. (Enciclopedia colombiana),"Carreño, Pedro M.",Directed,183,,1,1
Alpha,"Carricarte, Arturo R. de",Directed,184,,1,1
Panida,"Carriego, Evaristo",Directed,185,,2,2
Revista Moderna. (Enciclopedia colombiana),"Carrillo, Enrique A.",Directed,186,,5,5
CULTURA,"Carvajal Borrero, Mario",Directed,187,,15,15
Alpha,"Carvajal, Alberto",Directed,189,,1,1
Revista Contemporánea,"Carvajal, Alberto",Directed,190,,1,1
Trofeos,"Carvajal, Alberto",Directed,191,,2,2
Alpha,"Carvajal, M.A.",Directed,192,,3,3
Lectura Amena,"Carvajal, M.A.",Directed,193,,2,2
Revista Contemporánea,"Carvajal, M.A.",Directed,194,,1,1
Trofeos,"Carvajal, M.A.",Directed,195,,4,4
Revista Contemporánea,"Carvajal, Manuel A.",Directed,196,,2,2
CULTURA,"Carvajal, Manuel Antonio",Directed,197,,15,15
Lectura y Arte,"Carvajal, Manuel Antonio",Directed,198,,1,1
Lectura Amena,"Casal, Julián del",Directed,199,,1,1
Revista Moderna. (Enciclopedia colombiana),"Casas Castañeda, José Joaquín",Directed,200,,4,4
Revista Moderna. (Enciclopedia colombiana),"Casas Castañeda, Vicente",Directed,201,,1,1
El Repertorio. Revista Mensual Ilustrada,"Castelar, Emilio",Directed,202,,1,1
Lectura y Arte,"Castell, Ángel María",Directed,203,,1,1
La Gruta,"Castello, Carlos",Directed,204,,4,4
La Gruta,"Castello, Manuel",Directed,205,,1,1
Lectura y Arte,"Castilla Baena, Clodomiro",Directed,206,,1,1
CULTURA,"Castillo, Eduardo",Directed,207,,5,5
Trofeos,"Castillo, Eduardo",Directed,208,,1,1
Revista Literaria. Publicación Mensual,"Castro y Serrano, José de",Directed,209,,1,1
Alpha,"Castro, Alfonso",Directed,210,,2,2
CULTURA,"Castro, Alfonso",Directed,211,,3,3
El Repertorio. Revista Mensual Ilustrada,"Castro, Alfonso",Directed,212,,1,1
Lectura Amena,"Castro, Alfonso",Directed,213,,5,5
Lectura y Arte,"Castro, Alfonso",Directed,214,,1,1
CULTURA,"Castro, Eugenio de",Directed,215,,1,1
Trofeos,"Castro, Eugenio de",Directed,216,,3,3
Revista Moderna. (Enciclopedia colombiana),"Cañas, Juan José",Directed,217,,1,1
El Montañés,"Ceballos Quintana, Enrique",Directed,218,,2,2
La Gruta,"Cervantes, Edmundo",Directed,219,,1,1
Revista Literaria. Publicación Mensual,"Cervantes, Próspero",Directed,220,,1,1
Trofeos,"Cervera, Manuel",Directed,221,,3,3
Lectura Amena,"Cervera, Manuel S.",Directed,222,,1,1
Revista Moderna. (Enciclopedia colombiana),"Cestero, Tulio",Directed,223,,1,1
Trofeos,"Cestero, Tulio Manuel",Directed,224,,2,2
Revista Literaria. Publicación Mensual,"Charton, Ernest",Directed,225,,1,1
Lectura y Arte,"Chaumeix, André",Directed,226,,1,1
El Montañés,"Chaux, Simón",Directed,227,,1,1
La Gruta,"Chaves, J.R.",Directed,228,,1,1
Revista Literaria. Publicación Mensual,Chen Jitong,Directed,229,,1,1
Trofeos,"Chénier, André",Directed,230,,1,1
Revista Moderna. (Enciclopedia colombiana),"Claretie, Jules",Directed,231,,1,1
Panida,"Claussen, Sophus",Directed,232,,1,1
Revista Literaria. Publicación Mensual,"Clavijo Durán, Antonio",Directed,233,,1,1
Revista Literaria. Publicación Mensual,"Cobban, J. MacLaren",Directed,234,,1,1
Revista Moderna. (Enciclopedia colombiana),"Coll, Pedro Emilio",Directed,235,,1,1
Revista Literaria. Publicación Mensual,"Collas, Louis-Charles",Directed,236,,1,1
Revista Literaria. Publicación Mensual,"Colorado, Vicente",Directed,237,,1,1
CULTURA,"Colín, Eduardo",Directed,238,,2,2
Revista Moderna. (Enciclopedia colombiana),Comandante de Civrieux,Directed,239,,1,1
La Gruta,"Consuegra, Manuel S.",Directed,240,,1,1
CULTURA,"Contreras, Francisco",Directed,241,,1,1
Revista Literaria. Publicación Mensual,"Cooke, John Esten",Directed,242,,1,1
Lectura Amena,"Coppée, François",Directed,243,,1,1
Revista Literaria. Publicación Mensual,"Coppée, François",Directed,244,,1,1
Revista Moderna. (Enciclopedia colombiana),"Coppée, François",Directed,245,,1,1
CULTURA,"Coradine, Alberto",Directed,246,,11,11
Revista Literaria. Publicación Mensual,"Cordovez Moure, José María",Directed,247,,2,2
Revista Moderna. (Enciclopedia colombiana),"Cordovez Moure, José María",Directed,248,,1,1
CULTURA,"Corral, Jesús M. del",Directed,249,,1,1
El Montañés,"Corral, Jesús M. del",Directed,250,,1,1
El Repertorio. Revista Mensual Ilustrada,"Corral, Jesús M. del",Directed,251,,3,3
Lectura Amena,"Corral, Jesús M. del",Directed,252,,1,1
La Bohemia Alegre,"Corral, M. Antonio del",Directed,253,,1,1
Alpha,"Correa, Ramón",Directed,254,,1,1
Alpha,"Creta, Ruy de",Directed,255,,1,1
Alpha,"Cruz, Efraím de la",Directed,256,,2,2
Alpha,"Cruz, Jorge de la",Directed,257,,4,4
Revista Moderna. (Enciclopedia colombiana),"Cuervo Márquez, Carlos",Directed,258,,5,5
Alpha,"Cuervo Márquez, Emilio",Directed,259,,1,1
Revista Moderna. (Enciclopedia colombiana),"Cuervo Márquez, Emilio",Directed,260,,8,8
CULTURA,"Cuervo, Luis Augusto",Directed,261,,7,7
Revista Moderna. (Enciclopedia colombiana),"Cuervo, Luis Augusto",Directed,262,,1,1
Revista Contemporánea,"Cuervo, Rufino José",Directed,263,,1,1
Trofeos,"Cuervo, Rufino José",Directed,264,,2,2
Revista Literaria. Publicación Mensual,"Cuéllar Durán, Zoilo",Directed,265,,1,1
CULTURA,"Céspedes, Ángel María",Directed,266,,3,3
Trofeos,"Céspedes, Ángel María",Directed,267,,3,3
Revista Literaria. Publicación Mensual,"Cólogan y Cólogan, Bernardo Jacinto de",Directed,268,,1,1
La Gruta,"D'Annunzio, Gabriele",Directed,269,,1,1
Lectura Amena,"D'Annunzio, Gabriele",Directed,270,,4,4
Lectura y Arte,"D'Annunzio, Gabriele",Directed,271,,2,2
Revista Contemporánea,"D'Annunzio, Gabriele",Directed,272,,3,3
Trofeos,"D'Annunzio, Gabriele",Directed,273,,3,3
Revista Moderna. (Enciclopedia colombiana),"D'Avenel, Vizconde",Directed,274,,1,1
Lectura Amena,"D'Enjoÿ, Paul",Directed,275,,1,1
Revista Literaria. Publicación Mensual,"D'Hervilly, Ernest",Directed,276,,1,1
CULTURA,"D'Ors, Eugenio",Directed,277,,1,1
Lectura Amena,"D'Ors, Eugenio",Directed,278,,1,1
Panida,"D'Ors, Eugenio",Directed,279,,1,1
Revista Moderna. (Enciclopedia colombiana),"D'Ors, Eugenio",Directed,280,,2,2
Revista Moderna. (Enciclopedia colombiana),"Dahlgren, E.N.",Directed,281,,1,1
Alpha,"Darío, Rubén",Directed,282,,1,1
Lectura Amena,"Darío, Rubén",Directed,283,,6,6
Panida,"Darío, Rubén",Directed,284,,5,5
Revista Contemporánea,"Darío, Rubén",Directed,285,,1,1
Revista Moderna. (Enciclopedia colombiana),"Darío, Rubén",Directed,286,,1,1
Trofeos,"Darío, Rubén",Directed,287,,1,1
Lectura Amena,"Daudet, Alphonse",Directed,288,,2,2
Revista Literaria. Publicación Mensual,"Daudet, Alphonse",Directed,289,,1,1
Trofeos,"Davray, Henry-D.",Directed,290,,1,1
Alpha,"Delgado, Jorge E.",Directed,291,,1,1
Revista Literaria. Publicación Mensual,"Deslys, Charles",Directed,292,,3,3
Trofeos,"Desroix, Jacques",Directed,293,,1,1
Lectura Amena,"Dicenta, Joaquín",Directed,294,,8,8
La Bohemia Alegre,"Diuribía, Marcel",Directed,295,,1,1
Lectura Amena,"Donato Navarro, Manuel",Directed,296,,2,2
Trofeos,"Dumas, Joël",Directed,297,,1,1
Alpha,"Duque Uribe, Rafael",Directed,298,,1,1
La Gruta,"Duque Uribe, Rafael",Directed,299,,1,1
Revista Contemporánea,"Duque Uribe, Rafael",Directed,300,,10,10
Trofeos,"Duque Uribe, Rafael",Directed,301,,3,3
El Repertorio. Revista Mensual Ilustrada,"Duque, Antonio de J.",Directed,302,,2,2
El Repertorio. Revista Mensual Ilustrada,Dymón,Directed,303,,1,1
Alpha,"Déubel, Leon",Directed,304,,1,1
Revista Literaria. Publicación Mensual,"Díaz Guerra, Alirio",Directed,305,,1,1
Revista Moderna. (Enciclopedia colombiana),"Díaz Rodríguez, Manuel",Directed,306,,1,1
Revista Contemporánea,"Díaz Romero, Eugenio",Directed,307,,2,2
Revista Literaria. Publicación Mensual,"Díaz del Castillo, Ildefonso",Directed,308,,1,1
Lectura Amena,"Díaz, Leopoldo",Directed,309,,1,1
Panida,"Díaz, Leopoldo",Directed,310,,1,1
Revista Literaria. Publicación Mensual,"Díaz, Leopoldo",Directed,311,,1,1
Trofeos,"Díaz, Leopoldo",Directed,312,,3,3
Alpha,"Díaz, Pedro Pablo",Directed,313,,1,1
Panida,"Díez Canedo, Enrique",Directed,314,,1,1
Revista Moderna. (Enciclopedia colombiana),"Díez Canedo, Manuel",Directed,315,,1,1
La Gruta,EDOS,Directed,316,,1,1
Alpha,"Eastman, Tomás Oziel",Directed,317,,2,2
CULTURA,"Eastman, Tomás Oziel",Directed,318,,1,1
Lectura Amena,"Echagüe, Francisco",Directed,319,,1,1
Lectura Amena,"Echavarría Vélez, Liborio",Directed,320,,1,1
Revista Literaria. Publicación Mensual,"Echegaray, José",Directed,321,,1,1
Lectura Amena,"Echegorri, P.",Directed,322,,1,1
El Repertorio. Revista Mensual Ilustrada,"Echeverri, Camilo Antonio",Directed,323,,6,6
La Gruta,"Echeverría, Eduardo",Directed,324,,3,3
Lectura y Arte,"Echeverría, Eduardo",Directed,325,,1,1
La Gruta,"Echeverría, Marcelino",Directed,326,,2,2
Alpha,"Eraña, Silverio",Directed,327,,1,1
CULTURA,"Escallón, Rafael",Directed,328,,4,4
CULTURA,"Escobar Larrazábal, Melitón",Directed,329,,21,21
Revista Moderna. (Enciclopedia colombiana),"Escobar Padilla, Cenón",Directed,330,,1,1
Revista Literaria. Publicación Mensual,"Escobar Pino, Roberto",Directed,331,,3,3
Revista Literaria. Publicación Mensual,"Escobar R., Eusebio",Directed,332,,1,1
La Gruta,"Escobar Roa, Rafael",Directed,333,,2,2
Alpha,"Escobar Rojo, Severo",Directed,334,,4,4
Trofeos,"Escobar Sarmiento, Ricardo",Directed,335,,2,2
La Gruta,"Escobar, Felipe S.",Directed,336,,1,1
El Montañés,"Escobar, Francisco",Directed,337,,1,1
La Gruta,"Escobar, Mario",Directed,338,,3,3
La Gruta,"Escobar, Pedro Ignacio",Directed,339,,7,7
El Montañés,"Escovar Gaviria, Gonzalo",Directed,340,,2,2
El Montañés,"Escovar, José María",Directed,341,,8,8
Revista Literaria. Publicación Mensual,"Esguerra Ortiz, Joaquín",Directed,342,,1,1
Revista Moderna. (Enciclopedia colombiana),"Esguerra, Manuel",Directed,343,,2,2
CULTURA,"Esguerra, Nicolás",Directed,344,,1,1
La Gruta,"Espinosa Guzmán, Rafael",Directed,345,,29,29
Trofeos,"Espinosa Guzmán, Rafael",Directed,346,,2,2
Revista Literaria. Publicación Mensual,"Espinosa, Roberto",Directed,347,,1,1
Revista Moderna. (Enciclopedia colombiana),"Esquivel Obregón, Toribio",Directed,348,,1,1
Revista Literaria. Publicación Mensual,"Estrada Paniagua, Felipe",Directed,349,,1,1
Revista Moderna. (Enciclopedia colombiana),"Fallon, Diego",Directed,350,,1,1
Revista Literaria. Publicación Mensual,"Febres Cordero, Tulio",Directed,351,,3,3
El Montañés,"Fernández Avendaño, Enrique Wenceslao",Directed,352,,4,4
El Repertorio. Revista Mensual Ilustrada,"Fernández Avendaño, Enrique Wenceslao",Directed,353,,3,3
Lectura Amena,"Fernández Avendaño, Enrique Wenceslao",Directed,354,,1,1
Lectura y Arte,"Fernández Avendaño, Enrique Wenceslao",Directed,355,,1,1
Revista Literaria. Publicación Mensual,"Fernández Avendaño, Enrique Wenceslao",Directed,356,,5,5
Lectura Amena,"Fernández García, Alejandro",Directed,357,,2,2
Revista Contemporánea,"Fernández García, Alejandro",Directed,358,,3,3
Trofeos,"Fernández García, Alejandro",Directed,359,,1,1
Panida,"Fernández Ríos, Ovidio",Directed,360,,1,1
Revista Literaria. Publicación Mensual,"Fernández Villegas, Francisco",Directed,361,,1,1
Revista Literaria. Publicación Mensual,"Fernández, Manuel M.",Directed,362,,2,2
Revista Literaria. Publicación Mensual,"Fernández, Rafael César",Directed,363,,1,1
Revista Literaria. Publicación Mensual,"Ferrari, Emilio",Directed,364,,1,1
El Repertorio. Revista Mensual Ilustrada,"Ferrer L., Eduardo",Directed,365,,1,1
La Bohemia Alegre,"Ferrer, Jesús",Directed,366,,4,4
Revista Moderna. (Enciclopedia colombiana),"Ferrero, Guillermo",Directed,367,,1,1
Revista Literaria. Publicación Mensual,"Fleuriot-Kerinou, Francis",Directed,368,,1,1
Revista Literaria. Publicación Mensual,"Flórez Galindo, Federico",Directed,369,,1,1
La Gruta,"Flórez Álvarez, Ester",Directed,370,,2,2
Trofeos,"Flórez Álvarez, Ester",Directed,371,,1,1
El Repertorio. Revista Mensual Ilustrada,"Flórez, Julio",Directed,372,,2,2
La Gruta,"Flórez, Julio",Directed,373,,3,3
Lectura Amena,"Flórez, Julio",Directed,374,,2,2
Panida,"Fort, Paul",Directed,375,,3,3
Trofeos,"Fort, Paul",Directed,376,,4,4
Panida,"France, Anatole",Directed,377,,1,1
La Gruta,"Francisco, Julio de",Directed,378,,7,7
Lectura y Arte,"Francisco, Julio de",Directed,379,,1,1
Revista Literaria. Publicación Mensual,"Francisco, Ricardo de",Directed,380,,1,1
Revista Literaria. Publicación Mensual,"Franco, Enrique",Directed,381,,1,1
Panida,"Francés, José",Directed,382,,1,1
Revista Literaria. Publicación Mensual,"Frontaura, Carlos",Directed,383,,1,1
Lectura Amena,Fx. B.,Directed,384,,1,1
El Repertorio. Revista Mensual Ilustrada,"Féval, Paul",Directed,385,,1,1
Revista Literaria. Publicación Mensual,"Gabriac, Alexis de",Directed,386,,1,1
La Gruta,"Gaitán O., Gustavo",Directed,387,,2,2
Revista Contemporánea,"Gaitán O., Gustavo",Directed,388,,2,2
Revista Literaria. Publicación Mensual,"Galindo, Aníbal",Directed,389,,1,1
Lectura Amena,"Gamboa, Isaías",Directed,390,,1,1
Lectura Amena,"Gamboa, Mateo",Directed,391,,1,1
Alpha,"Gamero, Luis",Directed,392,,1,1
CULTURA,"Garavito Armero, Julio",Directed,393,,2,2
CULTURA,"Garay, Epifanio",Directed,394,,2,2
Lectura y Arte,"Garay, Epifanio",Directed,395,,2,2
CULTURA,"Garcés, Enrique",Directed,396,,3,3
El Montañés,"Garcés, Leopoldo",Directed,397,,2,2
Revista Contemporánea,"García Calvo, Federico",Directed,398,,1,1
Revista Literaria. Publicación Mensual,"García Mérou, Martín",Directed,399,,1,1
CULTURA,"García Ortiz, Laureano",Directed,400,,1,1
Revista Contemporánea,"García Ortiz, Laureano",Directed,401,,3,3
La Gruta,"García Rico, Francisco",Directed,402,,1,1
CULTURA,"García Samudio, Nicolás",Directed,403,,5,5
CULTURA,"García Zamudio, Nicolás",Directed,404,,1,1
Revista Literaria. Publicación Mensual,"García, Evaristo",Directed,405,,1,1
Revista Moderna. (Enciclopedia colombiana),"García, Juan Crisóstomo",Directed,406,,1,1
Alpha,"Gartner, Hugo",Directed,407,,1,1
Revista Moderna. (Enciclopedia colombiana),"Gautier, Judith",Directed,408,,2,2
Lectura Amena,"Gautier, Théophile",Directed,409,,1,1
La Bohemia Alegre,"Gaviria Arango, Enrique",Directed,410,,1,1
El Repertorio. Revista Mensual Ilustrada,"Gaviria I., Henrique",Directed,411,,1,1
Lectura y Arte,"Gaviria Isaza, Henrique",Directed,412,,1,1
Alpha,"Gaviria, José A.",Directed,413,,2,2
El Montañés,"Gaviria, José A.",Directed,414,,2,2
Revista Moderna. (Enciclopedia colombiana),"Gebhart, Émile",Directed,415,,1,1
Lectura Amena,"Gerin, Gabriel",Directed,416,,1,1
Alpha,"Gide, André",Directed,417,,2,2
Trofeos,"Gide, André",Directed,418,,1,1
Revista Literaria. Publicación Mensual,"Gil, Constantino",Directed,419,,2,2
Lectura Amena,"Gil, Ricardo",Directed,420,,1,1
Trofeos,"Giraldo, Francisco",Directed,421,,1,1
Trofeos,"Giraud, Victor",Directed,422,,1,1
Revista Literaria. Publicación Mensual,"Girón, Lázaro María",Directed,423,,1,1
Revista Literaria. Publicación Mensual,"Goenaga, Florentino",Directed,424,,1,1
El Repertorio. Revista Mensual Ilustrada,"Goethe, Johann Wolfgang von",Directed,425,,2,2
Trofeos,"Gomperz, Theodor",Directed,426,,3,3
Lectura Amena,"Gonzaga Urbina, Luis",Directed,427,,1,1
Panida,"González Blanco, Andrés",Directed,428,,4,4
Revista Literaria. Publicación Mensual,"González Obregón, Luis",Directed,429,,1,1
Panida,"González Ochoa, Fernando",Directed,430,,6,6
Lectura Amena,"González Serrano, Urbano",Directed,431,,1,1
Revista Literaria. Publicación Mensual,"González Suárez, Federico",Directed,432,,1,1
Revista Literaria. Publicación Mensual,"González Torres, A.",Directed,433,,1,1
Lectura Amena,"Gorki, Maksim",Directed,434,,1,1
Alpha,"Gourmont, Remy de",Directed,435,,3,3
Panida,"Gourmont, Remy de",Directed,436,,1,1
Revista Contemporánea,"Gourmont, Remy de",Directed,437,,2,2
Revista Moderna. (Enciclopedia colombiana),"Gourmont, Remy de",Directed,438,,1,1
Trofeos,"Gourmont, Remy de",Directed,439,,1,1
Revista Literaria. Publicación Mensual,"Goya, Antonio",Directed,440,,1,1
Revista Moderna. (Enciclopedia colombiana),"Goyau, Georges",Directed,441,,1,1
Panida,"Graf, Arturo",Directed,442,,1,1
Lectura Amena,"Gramont, Luciano",Directed,443,,1,1
Revista Contemporánea,"Grant, Allen",Directed,444,,2,2
El Repertorio. Revista Mensual Ilustrada,"Greiff, Carlos de",Directed,445,,1,1
Lectura y Arte,"Greiff, León de",Directed,446,,1,1
Panida,"Greiff, León de",Directed,447,,7,7
El Repertorio. Revista Mensual Ilustrada,"Greiff, Luis de",Directed,448,,83,83
Lectura Amena,"Greiff, Luis de",Directed,449,,2,2
Lectura y Arte,"Greiff, Luis de",Directed,450,,2,2
Alpha,"Grillo, Maximiliano",Directed,451,,2,2
CULTURA,"Grillo, Maximiliano",Directed,452,,3,3
El Repertorio. Revista Mensual Ilustrada,"Grillo, Maximiliano",Directed,453,,4,4
La Gruta,"Grillo, Maximiliano",Directed,454,,4,4
Lectura Amena,"Grillo, Maximiliano",Directed,455,,1,1
Lectura y Arte,"Grillo, Maximiliano",Directed,456,,1,1
Revista Contemporánea,"Grillo, Maximiliano",Directed,457,,14,14
Trofeos,"Grillo, Maximiliano",Directed,458,,8,8
Lectura Amena,"Groot, José Manuel",Directed,459,,1,1
El Repertorio. Revista Mensual Ilustrada,"Grégory, Pedro N.",Directed,460,,1,1
Revista Literaria. Publicación Mensual,"Guardia, Ernesto de la",Directed,461,,1,1
Revista Literaria. Publicación Mensual,"Guerra Azuola, Ramón",Directed,462,,6,6
La Gruta,"Guerrero, Rafael",Directed,463,,1,1
Lectura Amena,"Guerrini, Olindo",Directed,464,,1,1
Revista Literaria. Publicación Mensual,"Guerrini, Olindo",Directed,465,,1,1
Revista Literaria. Publicación Mensual,"Gumucio, Adulfo de",Directed,466,,1,1
La Bohemia Alegre,"Gutiérrez B., Germán",Directed,467,,1,1
El Repertorio. Revista Mensual Ilustrada,"Gutiérrez González, Gregorio",Directed,468,,2,2
La Bohemia Alegre,"Gutiérrez Robledo, Julio",Directed,469,,1,1
Revista Literaria. Publicación Mensual,"Gutiérrez de Alba, José María",Directed,470,,2,2
CULTURA,"Gutiérrez, Felipe Santiago",Directed,471,,1,1
Revista Literaria. Publicación Mensual,"Gutiérrez, Francisco A.",Directed,472,,1,1
Revista Contemporánea,"Guyau, Jean-Marie",Directed,473,,1,1
CULTURA,"Guzmán Esponda, Eduardo",Directed,474,,1,1
Revista Literaria. Publicación Mensual,"Guzmán, César Coronado",Directed,475,,1,1
Trofeos,"Guérin, Charles",Directed,476,,1,1
Trofeos,"Guérin, Maurice de",Directed,477,,2,2
Revista Contemporánea,"Gálvez, Manuel",Directed,478,,1,1
Alpha,"Gómez Barrientos, Estanislao",Directed,479,,5,5
El Montañés,"Gómez Barrientos, Estanislao",Directed,480,,7,7
Alpha,"Gómez Carrillo, Enrique",Directed,481,,1,1
Lectura Amena,"Gómez Carrillo, Enrique",Directed,482,,4,4
Revista Moderna. (Enciclopedia colombiana),"Gómez Carrillo, Enrique",Directed,483,,1,1
Trofeos,"Gómez Carrillo, Enrique",Directed,484,,1,1
Lectura Amena,"Gómez E., Bernardo",Directed,485,,2,2
Alpha,"Gómez Escobar, Francisco",Directed,486,,2,2
El Montañés,"Gómez Escobar, Francisco",Directed,487,,7,7
El Repertorio. Revista Mensual Ilustrada,"Gómez Escobar, Francisco",Directed,488,,2,2
La Bohemia Alegre,"Gómez Escobar, Francisco",Directed,489,,1,1
Lectura Amena,"Gómez Escobar, Francisco",Directed,490,,1,1
Lectura y Arte,"Gómez Escobar, Francisco",Directed,491,,2,2
CULTURA,"Gómez Jaime de Abadía, Herminia",Directed,492,,1,1
La Gruta,"Gómez Jaime, Alfredo",Directed,493,,3,3
Lectura Amena,"Gómez Jaime, Alfredo",Directed,494,,1,1
Lectura y Arte,"Gómez Jaime, Alfredo",Directed,495,,1,1
Revista Contemporánea,"Gómez Jaime, Alfredo",Directed,496,,1,1
CULTURA,"Gómez Naranjo, Abelardo",Directed,497,,2,2
Alpha,"Gómez Restrepo, Antonio",Directed,498,,2,2
CULTURA,"Gómez Restrepo, Antonio",Directed,499,,4,4
Revista Contemporánea,"Gómez Restrepo, Antonio",Directed,500,,2,2
Revista Literaria. Publicación Mensual,"Gómez Restrepo, Antonio",Directed,501,,3,3
Revista Moderna. (Enciclopedia colombiana),"Gómez Restrepo, Antonio",Directed,502,,2,2
