NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion,Comentarios
Trofeos,137,"Gómez Restrepo, Antonio",Creador,NA,Colombia,La Gioconda (Leonardo da Vinci),7,01/03/07,No,NA,Español,NA,Poesía,NA,"Cuervo, Rufino José",NA,0.5,204,Transferencia: poema a la obra cumbre de Davinci (La gioconda)
Trofeos,138,"Castro, Eugenio de",Creador,NA,Portugal,Crepúsculo,7,01/03/07,Sí,"Valencia, Guillermo",Español,Postugués,Poesía,NA,NA,NA,02/05/23,204-206,Transferencia: traducción
Trofeos,139,"Paillié, Francisco A.",Creador,Franscisco A. Paillié,Colombia,A propósito de Ibsen,7,01/03/07,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,02/05/23,207-208,Transferencias: comentario crítico sobre literatura
Trofeos,140,"Vermersch, R. Santa María",Reseñista,NA,NA,Les désenchantées,7,01/03/07,No,NA,Español,NA,Reseña,NA,NA,"Les Desénchantés. Roman des Harems turcs contemporains, de Pierre Loti",6,209-215,Transferencia: reseña crítica sobre libro
Trofeos,141,"Sánchez, Alberto",Creador,NA,Colombia,Ave gratia plena,7,01/03/07,No,NA,Español,NA,Poesía,NA,NA,NA,1,216,NA
Trofeos,142,"Pilon, Edmond",Creador,NA,Francia,Moseur Isamel Lopez,7,01/03/07,No,NA,Francés,Francés,Prosa No ficción,NA,NA,NA,0.5,217,Transferencia: texto sobre autor colombiano en frances
Trofeos,143,"López, Ismael",Director,NA,Colombia,Edmon Pilon y los cisnes del Cayla,7,01/03/07,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,04/05/23,217-221,Transferencias: comentario crítico sobre autor francés
Trofeos,144,"Guérin, Maurice de",Creador,NA,Francia,La roche D'Onelle,7,01/03/07,No,NA,Francés,Francés,Poesía,NA,NA,NA,0.5,222,Transferencia: texto en el idioma original
Trofeos,145,"Guérin, Maurice de",Creador,NA,Francia,La roche D'Onelle,7,01/03/07,Sí,"Silva, José Asunción",Español,Francés,Poesía,NA,NA,NA,0.5,222,Transferencias: traducción
Trofeos,146,"Londoño, Víctor Manuel",Reseñista,NA,Colombia,Carlos Baudelaire,7,01/03/07,Sí,"Marquina, Eduardo",Español,Francés,Reseña,NA,NA,Las flores del mal de Charles Baudelaire. Traducción de Eduardo Marquina,03/06/23,223-226,Transferencia: reseña crítica sobre libro
Trofeos,147,"Gourmont, Remy de",Creador,NA,Francia,Une nuit au Luxembourg,7,01/03/07,Sí,"Londoño, Víctor Manuel",Español,Francés,Prosa Ficción,NA,NA,NA,2,226-228,Transferencia: traducción. Texto tomado de Mercure de France 1906
Trofeos,148,"Ouvré, Henry",Creador,NA,Francia,Sócrates,7,01/03/07,Sí,NA,Español,Francés,Prosa Ficción,NA,NA,NA,0.5,228,Transferencias: traducción
Trofeos,149,"Briceño, Manuel",Reseñista,NA,Colombia,Álvaro de la Iglesia,7,01/03/07,No,NA,Español,NA,Reseña,NA,NA,Adoración de Alvaro de la Iglesia,1,229,"Transferencia: reseña de libro. Adoración-F. Granada & C.°, Editores-Barcelona"
Trofeos,150,"Londoño, Víctor Manuel",Director,V.M. Londoño,Colombia,Don Benito Navarro O,7,01/03/07,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,1,230,NA
Trofeos,151,"Olaya Herrera, Enrique",Creador,NA,Colombia,En los Boulevards,7,01/03/07,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,01/05/23,231-232,Transferencia: texto sobreParís
Trofeos,152,"Naranjo Martínez, Enrique",Creador,NA,Colombia,¡Los toros!,7,01/03/07,No,NA,Español,NA,Prosa No ficción,Notas bogotanas,NA,NA,01/06/23,133-234,NA
